step,max_abs_phase_increment_over_pi,mean_abs_phase_increment_over_pi,max_rat_err_q_le_256,median_rat_err_q_le_256,smallest_global_q_tol_1e10,best_denominators,dtheta_edge_0_over_pi,dtheta_edge_1_over_pi,dtheta_edge_2_over_pi,dtheta_edge_3_over_pi,dtheta_edge_4_over_pi,dtheta_edge_5_over_pi,dtheta_edge_6_over_pi,dtheta_edge_7_over_pi,dtheta_edge_8_over_pi,dtheta_edge_9_over_pi
1896,0.004775828460257152,0.0047758284600388804,8.860535556951508e-06,8.860535129060713e-06,,209,0.004775828459919306,0.004775828459908987,0.004775828460134595,0.004775828460251639,0.004775828460082292,0.004775828459658359,0.004775828460090208,0.004775828460110988,0.004775828459975284,0.004775828460257152
1897,0.0047758284602584244,0.004775828460038824,8.860535556668749e-06,8.860535129767613e-06,,209,0.0047758284599210025,0.004775828459908704,0.004775828460133464,0.0047758284602499425,0.004775828460082575,0.004775828459658642,0.004775828460088512,0.004775828460110422,0.004775828459976556,0.0047758284602584244
1898,0.004775828460259555,0.0047758284600388804,8.860535556527369e-06,8.860535130333132e-06,,209,0.004775828459922275,0.004775828459908987,0.004775828460132898,0.004775828460248529,0.004775828460082716,0.0047758284596587834,0.004775828460087239,0.004775828460109857,0.00477582845997797,0.004775828460259555
1899,0.004775828460260827,0.004775828460038852,8.860535556385989e-06,8.860535131180979e-06,,209,0.004775828459924113,0.004775828459908987,0.004775828460132333,0.004775828460247116,0.004775828460082575,0.004775828459658925,0.004775828460085685,0.004775828460108867,0.004775828459979101,0.004775828460260827
1900,0.0047758284602620995,0.004775828460038896,8.860535556103229e-06,8.860535131746498e-06,,209,0.004775828459925526,0.00477582845990828,0.00477582846013205,0.004775828460245985,0.004775828460082575,0.004775828459659208,0.004775828460084554,0.004775828460107878,0.004775828459980797,0.0047758284602620995
1901,0.0047758284602632305,0.004775828460038838,8.860535556103229e-06,8.860535132665468e-06,,209,0.004775828459927081,0.004775828459908421,0.004775828460131484,0.004775828460244288,0.004775828460082433,0.004775828459659208,0.004775828460082857,0.004775828460107171,0.0047758284599822105,0.0047758284602632305
1902,0.0047758284602643615,0.0047758284600388536,8.860535555820469e-06,8.860535133443058e-06,,209,0.004775828459928636,0.004775828459908704,0.004775828460130637,0.004775828460242874,0.0047758284600821505,0.00477582845965949,0.004775828460081585,0.004775828460106464,0.004775828459983624,0.0047758284602643615
1903,0.004775828460265492,0.00477582846003881,8.860535555679089e-06,8.860535134008144e-06,,209,0.004775828459930049,0.00477582845990828,0.004775828460130354,0.00477582846024132,0.004775828460082433,0.004775828459659632,0.004775828460080172,0.004775828460105475,0.004775828459984897,0.004775828460265492
1904,0.004775828460266623,0.004775828460038853,8.860535555254949e-06,8.860535134785734e-06,,209,0.004775828459931746,0.004775828459908139,0.004775828460129789,0.004775828460240189,0.004775828460082292,0.004775828459660056,0.004775828460078758,0.004775828460104485,0.004775828459986451,0.004775828460266623
1905,0.004775828460267754,0.004775828460038811,8.860535555254949e-06,8.860535135492634e-06,,209,0.004775828459933301,0.00477582845990828,0.004775828460129223,0.00477582846023821,0.004775828460082292,0.004775828459660056,0.0047758284600773445,0.004775828460103637,0.004775828459988006,0.004775828460267754
1906,0.004775828460268885,0.004775828460038782,8.860535554972189e-06,8.860535136270224e-06,,209,0.004775828459934715,0.004775828459907997,0.004775828460128658,0.004775828460236937,0.0047758284600821505,0.004775828459660339,0.004775828460075931,0.00477582846010293,0.004775828459989279,0.004775828460268885
1907,0.004775828460270156,0.00477582846003881,8.860535554689429e-06,8.86053513704738e-06,,209,0.004775828459936128,0.00477582845990828,0.0047758284601282334,0.004775828460235242,0.0047758284600821505,0.004775828459660621,0.004775828460074376,0.0047758284601020825,0.004775828459990834,0.004775828460270156
1908,0.004775828460271287,0.00477582846003881,8.860535554548049e-06,8.86053513782497e-06,,209,0.004775828459937824,0.004775828459907997,0.004775828460127809,0.0047758284602341106,0.004775828460082009,0.004775828459660763,0.0047758284600729626,0.0047758284601009515,0.004775828459992388,0.004775828460271287
1909,0.0047758284602724185,0.004775828460038755,8.86053555412391e-06,8.86053513853187e-06,,209,0.004775828459939238,0.004775828459908139,0.004775828460126961,0.004775828460232131,0.004775828460082009,0.004775828459661187,0.004775828460071549,0.004775828460100103,0.004775828459993802,0.0047758284602724185
1910,0.004775828460273691,0.004775828460038853,8.86053555384115e-06,8.860535139238769e-06,,209,0.004775828459940793,0.00477582845990828,0.004775828460126678,0.00477582846023086,0.004775828460081868,0.00477582845966147,0.004775828460070276,0.0047758284600991135,0.0047758284599954985,0.004775828460273691
1911,0.0047758284602746805,0.004775828460038726,8.86053555369977e-06,8.860535140086615e-06,,209,0.004775828459942065,0.004775828459907856,0.004775828460126113,0.0047758284602293045,0.004775828460081726,0.004775828459661611,0.004775828460068722,0.004775828460098124,0.004775828459997053,0.0047758284602746805
1912,0.004775828460275811,0.004775828460038755,8.86053555327563e-06,8.860535140793515e-06,,209,0.004775828459943761,0.00477582845990828,0.004775828460125547,0.004775828460227325,0.004775828460081726,0.004775828459662035,0.004775828460067308,0.004775828460097276,0.004775828459998467,0.004775828460275811
1913,0.004775828460276942,0.004775828460038796,8.860535552993737e-06,8.860535141429725e-06,,209,0.004775828459945034,0.004775828459908563,0.004775828460124983,0.004775828460226053,0.004775828460081726,0.004775828459662317,0.004775828460066036,0.004775828460096145,0.004775828460000163,0.004775828460276942
1914,0.004775828460278214,0.004775828460038768,8.860535552569597e-06,8.860535142278005e-06,,209,0.004775828459946588,0.004775828459907856,0.004775828460124841,0.00477582846022464,0.004775828460081726,0.004775828459662741,0.004775828460064339,0.004775828460095014,0.004775828460001718,0.004775828460278214
1915,0.004775828460279345,0.004775828460038796,8.860535552286837e-06,8.86053514298447e-06,,209,0.004775828459948143,0.004775828459907997,0.004775828460124417,0.004775828460223085,0.004775828460081585,0.004775828459663024,0.004775828460063068,0.004775828460094025,0.004775828460003273,0.004775828460279345
1916,0.004775828460280476,0.004775828460038782,8.860535552004077e-06,8.86053514354999e-06,,209,0.004775828459949557,0.004775828459908139,0.0047758284601238515,0.004775828460221105,0.004775828460081726,0.004775828459663307,0.004775828460061795,0.004775828460092894,0.004775828460004969,0.004775828460280476
1917,0.004775828460281606,0.004775828460038796,8.860535551579937e-06,8.86053514446896e-06,,209,0.004775828459951112,0.00477582845990828,0.004775828460123286,0.004775828460219692,0.004775828460081444,0.004775828459663731,0.00477582846006024,0.004775828460092045,0.004775828460006524,0.004775828460281606
1918,0.004775828460282596,0.00477582846003881,8.860535551297177e-06,8.86053514531724e-06,,209,0.004775828459952384,0.004775828459908139,0.004775828460123145,0.004775828460218561,0.004775828460081161,0.004775828459664014,0.004775828460058826,0.004775828460090915,0.0047758284600083615,0.004775828460282596
1919,0.004775828460283586,0.004775828460038754,8.860535550731657e-06,8.860535146023706e-06,,209,0.0047758284599537975,0.004775828459908139,0.0047758284601227205,0.004775828460216582,0.004775828460081302,0.004775828459664579,0.004775828460057272,0.004775828460089643,0.004775828460009917,0.004775828460283586
1920,0.004775828460284717,0.004775828460038754,8.860535550448898e-06,8.860535146730606e-06,,209,0.004775828459955211,0.00477582845990828,0.004775828460122438,0.004775828460215027,0.004775828460081161,0.004775828459664862,0.0047758284600559996,0.004775828460088229,0.004775828460011613,0.004775828460284717
1921,0.004775828460285848,0.004775828460038796,8.860535549883378e-06,8.860535147649576e-06,,209,0.0047758284599567664,0.00477582845990828,0.004775828460122014,0.004775828460213755,0.004775828460080737,0.0047758284596654274,0.004775828460054586,0.004775828460087239,0.00477582846001331,0.004775828460285848
1922,0.004775828460286978,0.00477582846003881,8.860535549600618e-06,8.860535148215096e-06,,209,0.004775828459958321,0.004775828459908421,0.004775828460121307,0.004775828460211776,0.0047758284600810195,0.00477582845966571,0.004775828460053172,0.004775828460086391,0.0047758284600150054,0.004775828460286978
1923,0.004775828460288109,0.00477582846003881,8.860535549035098e-06,8.860535148992252e-06,,209,0.004775828459959452,0.004775828459908704,0.004775828460120741,0.0047758284602100794,0.004775828460080878,0.004775828459666276,0.004775828460051759,0.004775828460085261,0.004775828460016843,0.004775828460288109
1924,0.00477582846028924,0.004775828460038825,8.860535548610958e-06,8.860535149699152e-06,,209,0.004775828459961007,0.004775828459908704,0.0047758284601206,0.004775828460208525,0.004775828460080878,0.0047758284596667,0.004775828460050345,0.004775828460083847,0.0047758284600183986,0.00477582846028924
1925,0.00477582846029023,0.004775828460038824,8.860535548045438e-06,8.860535150547431e-06,,209,0.004775828459962279,0.004775828459908563,0.004775828460120458,0.00477582846020697,0.004775828460080595,0.004775828459667265,0.004775828460048931,0.004775828460082716,0.004775828460020236,0.00477582846029023
1926,0.004775828460291219,0.004775828460038768,8.860535547762678e-06,8.860535151325021e-06,,209,0.004775828459963834,0.004775828459908704,0.004775828460119893,0.004775828460204991,0.004775828460080737,0.004775828459667548,0.004775828460047235,0.004775828460081585,0.004775828460021932,0.004775828460291219
1927,0.004775828460292491,0.004775828460038839,8.860535547056646e-06,8.860535152313814e-06,,209,0.004775828459965106,0.004775828459908987,0.004775828460119893,0.004775828460203577,0.0047758284600803134,0.004775828459668254,0.004775828460045963,0.004775828460080031,0.00477582846002377,0.004775828460292491
1928,0.004775828460293481,0.004775828460038825,8.860535546491126e-06,8.860535153586233e-06,,209,0.0047758284599663785,0.004775828459908846,0.00477582846011947,0.004775828460201881,0.0047758284600803134,0.00477582845966882,0.0047758284600445495,0.0047758284600789,0.004775828460025607,0.004775828460293481
1929,0.004775828460294612,0.0047758284600387686,8.860535546208366e-06,8.860535154858653e-06,,209,0.004775828459967792,0.004775828459908987,0.004775828460118904,0.004775828460200043,0.004775828460080031,0.0047758284596691025,0.004775828460043136,0.004775828460077769,0.004775828460027304,0.004775828460294612
