period_steps,deviation_deg,protocol,decay_abs_monotonic_by_leak,normalized_f_error_monotonic_by_leak,decay_abs_values,normalized_f_error_values
144,5.0,Protocol_B,True,True,6.1022669285921793e-17;2.0000009999627608e-06;2.0000100000419354e-05;1.0000250008324361e-04;4.0004000533395658e-04;2.0010006671669018e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
144,10.0,Protocol_F,True,True,6.1337219127601803e-17;2.0000009999611878e-06;2.0000100000418097e-05;1.0000250008324109e-04;4.0004000533395631e-04;2.0010006671669031e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
144,10.0,Protocol_B,True,True,6.1337219127601803e-17;2.0000009999611878e-06;2.0000100000418097e-05;1.0000250008324109e-04;4.0004000533395631e-04;2.0010006671669031e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
144,20.0,Protocol_F,True,True,6.4168167702721895e-17;2.0000009999580424e-06;2.0000100000414953e-05;1.0000250008323857e-04;4.0004000533395441e-04;2.0010006671668992e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
144,20.0,Protocol_B,True,True,6.4168167702721895e-17;2.0000009999580424e-06;2.0000100000414953e-05;1.0000250008323857e-04;4.0004000533395441e-04;2.0010006671668992e-03,1.6120194137495755e-16;8.7235677798922251e-08;8.7207810307405986e-07;4.3542029707645736e-06;1.7324302402463038e-05;8.4194639868795713e-05
144,35.0,Protocol_F,True,True,7.4705587399002203e-17;2.0000009999567841e-06;2.0000100000417467e-05;1.0000250008323857e-04;4.0004000533395403e-04;2.0010006671669026e-03,2.1351603135048051e-16;8.7235677798655171e-08;8.7207810308229832e-07;4.3542029707590433e-06;1.7324302402462885e-05;8.4194639868799927e-05
144,35.0,Protocol_B,True,True,7.4705587399002203e-17;2.0000009999567841e-06;2.0000100000417467e-05;1.0000250008323857e-04;4.0004000533395403e-04;2.0010006671669026e-03,2.1351603135048051e-16;8.7235677798655171e-08;8.7207810308229832e-07;4.3542029707590433e-06;1.7324302402462885e-05;8.4194639868799927e-05
144,60.0,Protocol_F,True,True,8.0161061215639855e-17;2.0000009999570200e-06;2.0000100000416556e-05;1.0000250008323759e-04;4.0004000533395290e-04;2.0010006671669009e-03,1.8656769322907739e-16;8.7235677797857967e-08;8.7207810308054750e-07;4.3542029707649954e-06;1.7324302402469689e-05;8.4194639868798464e-05
144,60.0,Protocol_B,True,True,8.0161061215639855e-17;2.0000009999570200e-06;2.0000100000416556e-05;1.0000250008323759e-04;4.0004000533395290e-04;2.0010006671669009e-03,1.8656769322907739e-16;8.7235677797857967e-08;8.7207810308054750e-07;4.3542029707649954e-06;1.7324302402469689e-05;8.4194639868798464e-05
192,1.0,Protocol_F,True,True,8.1735739942611566e-17;2.0000010000403473e-06;2.0000100000454709e-05;1.0000250008328587e-04;4.0004000533395685e-04;2.0010006671669508e-03,1.9063139020978841e-16;6.5435057398061464e-08;6.5407089739994842e-07;3.2641465277139074e-06;1.2963877075195679e-05;6.2454651723796656e-05
192,1.0,Protocol_B,True,True,8.1735739942611566e-17;2.0000010000403473e-06;2.0000100000454709e-05;1.0000250008328587e-04;4.0004000533395685e-04;2.0010006671669508e-03,1.9063139020978841e-16;6.5435057398061464e-08;6.5407089739994842e-07;3.2641465277139074e-06;1.2963877075195679e-05;6.2454651723796656e-05
192,2.0,Protocol_F,True,True,8.2553097342037681e-17;2.0000010000411647e-06;2.0000100000457979e-05;1.0000250008328669e-04;4.0004000533395886e-04;2.0010006671669525e-03,1.9063139020978841e-16;6.5435057398061464e-08;6.5407089739994842e-07;3.2641465277139074e-06;1.2963877075195679e-05;6.2454651723796656e-05
192,2.0,Protocol_B,True,True,8.2553097342037681e-17;2.0000010000411647e-06;2.0000100000457979e-05;1.0000250008328669e-04;4.0004000533395886e-04;2.0010006671669525e-03,1.9063139020978841e-16;6.5435057398061464e-08;6.5407089739994842e-07;3.2641465277139074e-06;1.2963877075195679e-05;6.2454651723796656e-05
192,5.0,Protocol_F,True,True,7.8874989044620161e-17;2.0000010000407560e-06;2.0000100000462475e-05;1.0000250008329363e-04;4.0004000533395723e-04;2.0010006671669581e-03,1.8263341334966288e-16;6.5435057404242912e-08;6.5407089740229364e-07;3.2641465277151945e-06;1.2963877075195292e-05;6.2454651723792021e-05
192,5.0,Protocol_B,True,True,7.8874989044620161e-17;2.0000010000407560e-06;2.0000100000462475e-05;1.0000250008329363e-04;4.0004000533395723e-04;2.0010006671669581e-03,1.8263341334966288e-16;6.5435057404242912e-08;6.5407089740229364e-07;3.2641465277151945e-06;1.2963877075195292e-05;6.2454651723792021e-05
