th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.1,0.2,0.6,1.0,0.056192172407592306,0.056192172407592444,1.3877787807814457e-16,0.03441053748427658,0.03441053748427551,1.0755285551056204e-15,2.381784546221654e-14,False
0.1,0.2,0.8,1.0,0.03973386615901225,0.03973386615901221,3.469446951953614e-17,0.03973386615901213,0.039733866159012345,2.1510571102112408e-16,3.1395576157417155e-14,False
0.1,0.2,1.0,1.0,1.84773673211673e-15,0.0,1.84773673211673e-15,0.044423812870213956,0.04442381287021503,1.0755285551056204e-15,5.541646502306584e-15,True
0.1,0.4,0.0,1.0,0.076944300957144,0.07694430095714438,3.885780586188048e-16,4.467066268785506e-18,0.0,4.467066268785506e-18,-3.141592653589793,False
0.1,0.4,0.2,1.0,0.06882107496855099,0.0688210749685508,1.8041124150158794e-16,0.02809608620379715,0.02809608620379631,8.396061623727746e-16,1.2356924686362183e-14,False
0.1,0.4,0.4,1.0,0.059600799238520775,0.05960079923851832,2.456368441983159e-15,0.039733866159012726,0.039733866159012345,3.8163916471489756e-16,-8.001731520698951e-15,False
0.1,0.4,0.6,1.0,0.04866384879881113,0.04866384879881003,1.1032841307212493e-15,0.04866384879881106,0.04866384879881018,8.81239525796218e-16,-1.1112273442325478e-15,False
0.1,0.4,0.8,1.0,0.03441053748427682,0.034410537484275396,1.4224732503009818e-15,0.056192172407591945,0.05619217240759262,6.730727086790012e-16,2.2195617854010822e-14,True
0.1,0.4,1.0,1.0,2.3222841950443592e-15,0.0,2.3222841950443592e-15,0.06282475865338275,0.06282475865338255,1.942890293094024e-16,4.50974856739502e-15,True
0.1,0.6,0.0,1.0,0.06282475865338055,0.06282475865338236,1.8041124150158794e-15,9.28732714684433e-19,0.0,9.28732714684433e-19,-3.141592653589793,False
0.1,0.6,0.2,1.0,0.0561921724075927,0.056192172407592444,2.5673907444456745e-16,0.03441053748427387,0.03441053748427551,1.6375789613221059e-15,-1.0659533078033614e-14,False
0.1,0.6,0.4,1.0,0.04866384879881245,0.04866384879881003,2.4216739724636227e-15,0.04866384879880911,0.04866384879881018,1.0685896612017132e-15,-1.3074401498409643e-14,False
0.1,0.6,0.6,1.0,0.039733866159013365,0.03973386615901222,1.1449174941446927e-15,0.059600799238520095,0.059600799238518506,1.5890067039947553e-15,-1.5508679938740125e-14,True
0.1,0.6,0.8,1.0,0.028096086203798096,0.02809608620379622,1.8769708010069053e-15,0.06882107496854961,0.06882107496855101,1.4016565685892601e-15,2.681351793106041e-16,True
0.1,0.6,1.0,1.0,3.422999350067197e-15,0.0,3.422999350067197e-15,0.07694430095714488,0.07694430095714463,2.498001805406602e-16,2.7096010202711716e-15,True
0.1,0.8,0.0,1.0,0.0444238128702139,0.044423812870214886,9.853229343548264e-16,4.8529475419330305e-18,0.0,4.8529475419330305e-18,-3.141592653589793,False
0.1,0.8,0.2,1.0,0.039733866159013656,0.03973386615901221,1.4432899320127035e-15,0.03973386615901243,0.039733866159012345,8.326672684688674e-17,1.3374177059617208e-14,False
0.1,0.8,0.4,1.0,0.03441053748427728,0.034410537484275396,1.887379141862766e-15,0.056192172407591216,0.05619217240759262,1.4016565685892601e-15,-5.584168205954195e-15,True
0.1,0.8,0.6,1.0,0.02809608620379712,0.02809608620379622,9.020562075079397e-16,0.06882107496855282,0.06882107496855101,1.8041124150158794e-15,2.931701387851202e-14,True
