protocol,kind,step,C_memory
ramp_duration_24,ramp,68,3.8e-06
ramp_duration_24,ramp,69,3.8e-06
ramp_duration_24,ramp,70,3.8e-06
ramp_duration_24,ramp,71,3.8e-06
ramp_duration_24,ramp,72,3.8e-06
ramp_duration_24,ramp,73,3.8e-06
ramp_duration_24,ramp,74,3.8e-06
ramp_duration_24,ramp,75,3.8e-06
ramp_duration_24,ramp,76,3.8e-06
ramp_duration_24,ramp,77,3.8e-06
ramp_duration_24,ramp,78,3.8e-06
ramp_duration_24,ramp,79,3.8e-06
ramp_duration_24,ramp,80,3.8e-06
ramp_duration_24,ramp,81,3.8e-06
ramp_duration_24,ramp,82,3.8e-06
ramp_duration_24,ramp,83,3.8e-06
ramp_duration_24,ramp,84,3.8e-06
ramp_duration_24,ramp,85,3.8e-06
ramp_duration_24,ramp,86,3.8e-06
ramp_duration_24,ramp,87,3.8e-06
ramp_duration_24,ramp,88,3.8e-06
ramp_duration_24,ramp,89,3.8e-06
ramp_duration_24,ramp,90,3.8e-06
ramp_duration_24,ramp,91,3.8e-06
ramp_duration_24,ramp,92,3.8e-06
ramp_duration_24,ramp,93,3.8e-06
ramp_duration_24,ramp,94,3.8e-06
ramp_duration_24,ramp,95,3.8e-06
triangle,triangle,0,0.0
triangle,triangle,1,0.0
triangle,triangle,2,0.0
triangle,triangle,3,0.0
triangle,triangle,4,0.0
triangle,triangle,5,0.0
triangle,triangle,6,2e-07
triangle,triangle,7,4e-07
triangle,triangle,8,6e-07
triangle,triangle,9,8e-07
triangle,triangle,10,1e-06
triangle,triangle,11,1.2e-06
triangle,triangle,12,1.4e-06
triangle,triangle,13,1.6e-06
triangle,triangle,14,1.8e-06
triangle,triangle,15,2e-06
triangle,triangle,16,2.2e-06
triangle,triangle,17,2.4e-06
triangle,triangle,18,2.6e-06
triangle,triangle,19,2.8e-06
triangle,triangle,20,3e-06
triangle,triangle,21,3.2e-06
triangle,triangle,22,3.4e-06
triangle,triangle,23,3.6e-06
triangle,triangle,24,3.8000000000000005e-06
triangle,triangle,25,3.6272727272727275e-06
triangle,triangle,26,3.4545454545454545e-06
triangle,triangle,27,3.281818181818182e-06
triangle,triangle,28,3.109090909090909e-06
triangle,triangle,29,2.9363636363636365e-06
triangle,triangle,30,2.7636363636363635e-06
triangle,triangle,31,2.590909090909091e-06
triangle,triangle,32,2.418181818181818e-06
triangle,triangle,33,2.245454545454545e-06
triangle,triangle,34,2.0727272727272726e-06
triangle,triangle,35,1.9e-06
triangle,triangle,36,1.7272727272727275e-06
triangle,triangle,37,1.5545454545454545e-06
triangle,triangle,38,1.3818181818181818e-06
triangle,triangle,39,1.2090909090909092e-06
triangle,triangle,40,1.0363636363636363e-06
triangle,triangle,41,8.636363636363637e-07
triangle,triangle,42,6.909090909090907e-07
triangle,triangle,43,5.181818181818181e-07
triangle,triangle,44,3.4545454545454555e-07
triangle,triangle,45,1.7272727272727256e-07
triangle,triangle,46,0.0
triangle,triangle,47,0.0
triangle,triangle,48,0.0
triangle,triangle,49,0.0
triangle,triangle,50,0.0
triangle,triangle,51,0.0
triangle,triangle,52,0.0
triangle,triangle,53,0.0
triangle,triangle,54,0.0
triangle,triangle,55,0.0
triangle,triangle,56,0.0
triangle,triangle,57,0.0
triangle,triangle,58,0.0
triangle,triangle,59,0.0
triangle,triangle,60,0.0
triangle,triangle,61,0.0
triangle,triangle,62,0.0
triangle,triangle,63,0.0
triangle,triangle,64,0.0
triangle,triangle,65,0.0
triangle,triangle,66,0.0
triangle,triangle,67,0.0
triangle,triangle,68,0.0
triangle,triangle,69,0.0
triangle,triangle,70,0.0
triangle,triangle,71,0.0
triangle,triangle,72,0.0
triangle,triangle,73,0.0
triangle,triangle,74,0.0
triangle,triangle,75,0.0
triangle,triangle,76,0.0
triangle,triangle,77,0.0
triangle,triangle,78,0.0
triangle,triangle,79,0.0
triangle,triangle,80,0.0
triangle,triangle,81,0.0
triangle,triangle,82,0.0
triangle,triangle,83,0.0
triangle,triangle,84,0.0
triangle,triangle,85,0.0
triangle,triangle,86,0.0
triangle,triangle,87,0.0
triangle,triangle,88,0.0
triangle,triangle,89,0.0
triangle,triangle,90,0.0
triangle,triangle,91,0.0
triangle,triangle,92,0.0
triangle,triangle,93,0.0
triangle,triangle,94,0.0
triangle,triangle,95,0.0
sine_packet,sine_packet,0,0.0
sine_packet,sine_packet,1,0.0
sine_packet,sine_packet,2,0.0
sine_packet,sine_packet,3,0.0
sine_packet,sine_packet,4,0.0
sine_packet,sine_packet,5,4.859201816736704e-09
sine_packet,sine_packet,6,3.5401165419385934e-08
sine_packet,sine_packet,7,1.0140323632771858e-07
sine_packet,sine_packet,8,1.8712839546888876e-07
sine_packet,sine_packet,9,2.522074007820459e-07
sine_packet,sine_packet,10,2.4364885052762746e-07
sine_packet,sine_packet,11,1.1570225626986562e-07
sine_packet,sine_packet,12,-1.487336566207924e-07
