N,q,kind,k,eps,T,residual,mu,global_closure,local_closure,rank,amp_min,amp_max,amp_spread,round,axes,vertex_null,embed_err
13,6,control_k1,1,0.6,0.11999999999999995,0.22894540834006702,-0.728,0.3000000000000001,0.04615384615384617,12,0.16329931618554522,0.32659863237109044,0.16329931618554522,False,,0.009230769230769313,2.4802510824186314e-16
14,13,equimodular,0,0.0,0.0,1.7372712672559237e-16,-0.8666666666666664,1.4338402285089055e-16,2.5684024015749608e-17,13,0.25819888974716104,0.2581988897471611,5.551115123125783e-17,False,0.632456 0.353160 0.353160 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574,1.326779359094549e-16,4.484050470211362e-16
14,13,member,2,0.6,5.551115123125783e-17,2.707278831357297e-16,-0.8666666666666664,8.968236311049093e-17,1.626613524887163e-17,13,0.16682024448376936,0.32659863237109044,0.15977838788732107,False,0.632820 0.392643 0.371680 0.371676 0.295804 0.208914 0.207671 0.199427 0.197513 0.153858 0.152122 0.137191 0.136029,1.3257114111763554e-16,3.6002095113654283e-16
14,13,member,3,0.6,1.193812447098184e-16,1.6301104283668706e-16,-0.8666666666666667,1.6053629176483268e-16,2.4188853738865162e-17,13,0.16682024448376936,0.32659863237109044,0.15977838788732107,False,0.632821 0.392641 0.371637 0.371607 0.295804 0.216437 0.215291 0.183749 0.181829 0.166120 0.164246 0.133132 0.132034,9.63347434045006e-17,3.5089472603204863e-16
14,13,member,4,0.6,7.152448122690996e-17,7.894400458909785e-17,-0.8666666666666668,4.923544001536868e-17,9.987574638990406e-18,13,0.16682024448376936,0.32659863237109044,0.15977838788732107,False,0.632820 0.411784 0.367237 0.347575 0.291351 0.221321 0.221007 0.195183 0.194358 0.160237 0.159327 0.128695 0.128281,6.039080982334231e-17,2.1138016631127878e-16
14,13,member,5,0.6,1.2723933587929954e-16,2.0196998734225746e-16,-0.8666666666666666,2.1653376588885576e-16,3.377523320601838e-17,13,0.16682024448376936,0.32659863237109044,0.15977838788732107,False,0.632820 0.392919 0.371645 0.371240 0.295781 0.216235 0.215865 0.183779 0.181869 0.166511 0.163385 0.132924 0.132388,1.2505162576069947e-16,3.659752331659638e-16
14,13,member,6,0.6,1.3660327815169537e-16,3.762291993197056e-16,-0.8666666666666664,2.249319063603534e-16,3.580578105645105e-17,13,0.16682024448376934,0.32659863237109044,0.1597783878873211,False,0.635222 0.392641 0.365751 0.361068 0.295804 0.221418 0.220742 0.195465 0.193697 0.160552 0.158708 0.128822 0.128060,9.855963238380313e-17,2.0014830212433605e-16
14,13,member,7,0.6,2.464040208616889e-16,2.8371327692764195e-16,-0.8666666666666667,2.9186855358792864e-16,4.424737828179895e-17,13,0.1668202444837694,0.32659863237109044,0.15977838788732104,False,0.635222 0.392641 0.365751 0.361068 0.295804 0.221418 0.220742 0.195465 0.193697 0.160552 0.158708 0.128822 0.128060,7.692641407158114e-17,2.6009284745375385e-16
14,13,member,8,0.6,5.2186064346577e-16,5.530729166546936e-16,-0.8666666666666663,5.951548274397778e-16,8.833754750883331e-17,13,0.16682024448376934,0.32659863237109044,0.1597783878873211,False,0.632820 0.392919 0.371645 0.371240 0.295781 0.216235 0.215865 0.183779 0.181869 0.166511 0.163385 0.132924 0.132388,9.072782387587749e-17,2.1647236072850485e-16
14,13,member,9,0.6,2.07007104377159e-16,2.1712085898986853e-16,-0.8666666666666668,2.488726512248343e-16,3.8407003572641175e-17,13,0.16682024448376928,0.32659863237109044,0.15977838788732115,False,0.632820 0.411784 0.367237 0.347575 0.291351 0.221321 0.221007 0.195183 0.194358 0.160237 0.159327 0.128695 0.128281,9.02330833286303e-17,3.1951544482514045e-16
14,13,member,10,0.6,3.48951172420846e-16,4.114884857777116e-16,-0.8666666666666671,4.3481607644536037e-16,6.586388965765685e-17,13,0.1668202444837694,0.32659863237109044,0.15977838788732104,False,0.632821 0.392641 0.371637 0.371607 0.295804 0.216437 0.215291 0.183749 0.181829 0.166120 0.164246 0.133132 0.132034,1.2129136054702595e-16,1.920770561445796e-16
14,13,member,11,0.6,5.830322762800934e-16,5.999383086629956e-16,-0.8666666666666671,6.728717364943205e-16,9.839113574985032e-17,13,0.16682024448376934,0.32659863237109044,0.1597783878873211,False,0.632820 0.392643 0.371680 0.371676 0.295804 0.208914 0.207671 0.199427 0.197513 0.153858 0.152122 0.137191 0.136029,1.6208417068595405e-16,3.8869517352610256e-16
14,13,control_k1,1,0.6,0.26,0.2480241923684058,-0.7886666666666665,0.3,0.04285714285714286,13,0.16682024448376936,0.32659863237109044,0.15977838788732107,False,,0.009285714285714355,2.408705867777664e-16
15,7,equimodular,0,0.0,0.0,2.0730418615361571e-16,-0.933333333333333,1.0475624188435257e-16,2.2473657951974952e-17,14,0.25819888974716104,0.25819888974716115,1.1102230246251565e-16,False,0.472649 0.472649 0.439507 0.439507 0.387196 0.387196 0.215419 0.215419 0.210960 0.210960 0.195372 0.195372 0.192745 0.192745,1.188368601136613e-16,3.408235012970691e-16
15,7,member,2,0.6,3.469446951953614e-17,1.9978612331889047e-16,-0.9333333333333335,8.732187808369533e-17,1.486544391896482e-17,14,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.496391 0.496391 0.431741 0.431741 0.378796 0.378796 0.322680 0.322680 0.292493 0.292493 0.234802 0.234802 0.142990 0.142990,1.343962437397182e-16,3.3687597417004654e-16
15,7,member,3,0.6,4.1777673608052095e-17,1.7008380144176218e-16,-0.9333333333333333,1.0997296921015175e-16,1.7311796040916705e-17,14,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.470035 0.470035 0.447228 0.447228 0.360291 0.360291 0.316146 0.316146 0.314533 0.314533 0.303486 0.303486 0.247291 0.247291,9.369509096579805e-17,2.6009284745375385e-16
15,7,member,4,0.6,1.0971354589302191e-17,1.6329518327460652e-16,-0.9333333333333332,4.774591269491668e-17,1.3225198777506336e-17,14,0.17500831966100897,0.32659863237109044,0.15159031271008147,False,0.470035 0.470035 0.447228 0.447228 0.360291 0.360291 0.316146 0.316146 0.314533 0.314533 0.303486 0.303486 0.247291 0.247291,1.0187837487828459e-16,3.0805751588877583e-16
15,7,member,5,0.6,1.138063217752167e-16,2.123875876541758e-16,-0.9333333333333339,2.046535623596886e-16,3.3823249594608776e-17,14,0.17500831966100894,0.32659863237109044,0.1515903127100815,False,0.496391 0.496391 0.431741 0.431741 0.378796 0.378796 0.322680 0.322680 0.292493 0.292493 0.234802 0.234802 0.142990 0.142990,1.0064299039708731e-16,2.9933908976713375e-16
15,7,control_k1,1,0.6,0.13999999999999999,0.26710297639674474,-0.8493333333333334,0.29999999999999993,0.04,14,0.17500831966100894,0.32659863237109044,0.1515903127100815,False,,0.009333333333333395,2.31759316079499e-16
16,15,equimodular,0,0.0,0.0,1.274213878915217e-16,-0.9999999999999999,9.272255196210977e-17,1.229888665952378e-17,15,0.25819888974716104,0.25819888974716115,1.1102230246251565e-16,False,0.683130 0.365148 0.365148 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574 0.182574,5.3667341445316145e-17,2.0209342365144349e-16
16,15,member,2,0.6,1.5515838457795457e-17,1.2868269479540595e-16,-1.0000000000000002,3.4081908657065423e-17,7.152448122690994e-18,15,0.16595409798288935,0.32659863237109044,0.1606445343882011,False,0.683423 0.417191 0.383818 0.383816 0.327690 0.216661 0.216342 0.204194 0.202258 0.177464 0.176617 0.147638 0.145998 0.131171 0.130711,1.3878286304049038e-16,4.257111788135694e-16
16,15,member,3,0.6,1.1775693440128312e-16,1.7261588202001347e-16,-1.0000000000000002,1.0777645836213728e-16,1.668403615060569e-17,15,0.1852187541575333,0.32659863237109044,0.14137987821355713,False,0.683423 0.417186 0.383827 0.383827 0.327681 0.217327 0.217327 0.198780 0.198780 0.185583 0.180617 0.144153 0.144153 0.130969 0.130969,1.4842594954310034e-16,3.900158386785521e-16
16,15,member,4,0.6,1.5550709907979195e-16,2.191526362792761e-16,-1.0,2.1422254656338606e-16,2.949348774913697e-17,15,0.16595409798288932,0.32659863237109044,0.16064453438820112,False,0.683424 0.417190 0.383780 0.383755 0.327690 0.221684 0.221156 0.197222 0.195878 0.174450 0.173106 0.156066 0.154659 0.127748 0.127181,2.242636988122734e-16,4.449557262054371e-16
16,15,member,5,0.6,3.4867510341210807e-17,1.1505055683284348e-16,-1.0000000000000002,4.718958039861915e-17,7.269816092100957e-18,15,0.2160246899469285,0.3265986323710905,0.11057394242416199,False,0.683536 0.416333 0.384802 0.384802 0.325748 0.230940 0.230940 0.183350 0.183350 0.152753 0.152753 0.152753 0.152753 0.152753 0.152753,1.4996478393487616e-16,3.5388358909926865e-16
16,15,member,6,0.6,8.709970391202742e-17,1.2354691888186219e-16,-1.0,7.14402852221782e-17,1.5432276419135167e-17,15,0.18521875415753325,0.32659863237109044,0.1413798782135572,False,0.683423 0.417186 0.383827 0.383827 0.327681 0.217327 0.217327 0.198780 0.198780 0.185583 0.180617 0.144153 0.144153 0.130969 0.130969,1.5534887495138554e-16,5.639318948835421e-16
16,15,member,7,0.6,2.0573118332777754e-16,2.512513561829887e-16,-1.0000000000000002,2.1882283528536876e-16,2.935366006399775e-17,15,0.16595409798288926,0.32659863237109044,0.16064453438820117,False,0.685638 0.417190 0.377636 0.373182 0.327690 0.224411 0.224076 0.205988 0.204970 0.179094 0.177679 0.149431 0.148288 0.125136 0.124720,1.7723953361255808e-16,4.478140858205791e-16
16,15,member,8,0.6,1.4304896245381993e-16,2.4694765090579664e-16,-1.0000000000000002,1.637637764451964e-16,2.3338317471424865e-17,15,0.16595409798288932,0.32659863237109044,0.16064453438820112,False,0.685638 0.417190 0.377636 0.373182 0.327690 0.224411 0.224076 0.205988 0.204970 0.179094 0.177679 0.149431 0.148288 0.125136 0.124720,1.3857079308604485e-16,4.0101205559321946e-16
16,15,member,9,0.6,1.0398216711730655e-16,1.35432432055585e-16,-1.0,6.664589960562512e-17,1.2049774363595733e-17,15,0.18521875415753325,0.32659863237109044,0.1413798782135572,False,0.683423 0.417186 0.383827 0.383827 0.327681 0.217327 0.217327 0.198780 0.198780 0.185583 0.180617 0.144153 0.144153 0.130969 0.130969,1.234818022108922e-16,3.47014077196894e-16
16,15,member,10,0.6,1.5887642787281318e-16,2.593875695119899e-16,-1.0,1.8562351793698691e-16,2.743181480730715e-17,15,0.2160246899469281,0.3265986323710905,0.11057394242416238,False,0.683536 0.416333 0.384802 0.384802 0.325748 0.230940 0.230940 0.183350 0.183350 0.152753 0.152753 0.152753 0.152753 0.152753 0.152753,9.5298179376053e-17,2.8525521932185695e-16
16,15,member,11,0.6,3.2084412964475094e-16,3.6767340281223006e-16,-0.9999999999999999,3.2668578528747744e-16,4.3248660222351676e-17,15,0.16595409798288907,0.32659863237109044,0.16064453438820137,False,0.683424 0.417190 0.383780 0.383755 0.327690 0.221684 0.221156 0.197222 0.195878 0.174450 0.173106 0.156066 0.154659 0.127748 0.127181,1.82219573766507e-16,3.935643731047609e-16
16,15,member,12,0.6,7.757919228897728e-17,1.3948757111230555e-16,-1.0000000000000002,7.318806362944028e-17,1.1275702593849243e-17,15,0.18521875415753317,0.32659863237109044,0.14137987821355727,False,0.683423 0.417186 0.383827 0.383827 0.327681 0.217327 0.217327 0.198780 0.198780 0.185583 0.180617 0.144153 0.144153 0.130969 0.130969,1.4119731168577438e-16,2.796511984674376e-16
16,15,member,13,0.6,3.227891107075167e-16,3.25180989270624e-16,-0.9999999999999996,3.3517443379311916e-16,4.350664344060665e-17,15,0.16595409798288932,0.32659863237109044,0.16064453438820112,False,0.683423 0.417191 0.383818 0.383816 0.327690 0.216661 0.216342 0.204194 0.202258 0.177464 0.176617 0.147638 0.145998 0.131171 0.130711,1.751980713559831e-16,5.191201666939784e-16
16,15,control_k1,1,0.6,0.29999999999999993,0.2861817604250837,-0.91,0.30000000000000004,0.037500000000000006,15,0.16595409798288935,0.32659863237109044,0.1606445343882011,False,,0.00937500000000013,4.666505380116678e-16
