step,time,seed,epsilon,baseline_norm,perturbed_norm,total_difference,transverse_difference,normalized_transverse_amplification,local_transverse_growth_rate,renormalization_factor,active_subspace_dimension,projection_closure_error,norm_error,conservation_error
8400,8400,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.2238576968e-08,1.7399652523e-08,1.7399652523e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.5543122345e-15
8450,8450,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.8846177090e-08,1.6061171247e-08,1.6061171247e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.5543122345e-15
8500,8500,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4664423097e-08,1.1895606037e-08,1.1895606037e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,1.6653345369e-15
8550,8550,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.4509667954e-08,7.6106708182e-09,7.6106708182e-01,nan,nan,4,0.0000000000e+00,4.4408920985e-16,1.7763568394e-15
8600,8600,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.1073431638e-08,1.6660827776e-08,1.6660827776e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,1.7763568394e-15
8650,8650,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.7004135556e-08,2.3354643576e-08,2.3354643576e+00,nan,nan,4,0.0000000000e+00,4.4408920985e-16,1.7763568394e-15
8667,8667,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.9163673071e-08,2.4837145137e-08,2.4837145137e+00,1.8195104548e-03,2.4837145137e+00,4,0.0000000000e+00,4.4408920985e-16,1.6653345369e-15
8700,8700,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.1248487040e-08,1.0214241310e-08,1.0214241310e+00,nan,nan,4,0.0000000000e+00,0.0000000000e+00,1.6653345369e-15
8750,8750,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.2345137467e-08,9.6180063751e-09,9.6180063751e-01,nan,nan,4,0.0000000000e+00,4.4408920985e-16,1.7763568394e-15
8800,8800,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3623826598e-08,1.2080428750e-08,1.2080428750e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,1.2212453271e-15
8850,8850,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.6564641206e-08,1.1935709140e-08,1.1935709140e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.1102230246e-15
8900,8900,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.9539642152e-08,1.3343436704e-08,1.3343436704e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.3322676296e-15
8950,8950,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.1727397384e-08,1.7680377094e-08,1.7680377094e+00,nan,nan,4,0.0000000000e+00,6.6613381478e-16,1.3322676296e-15
9000,9000,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.4981657295e-08,1.8228246543e-08,1.8228246543e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.4432899320e-15
9050,9050,0,1e-08,1.0000000000e+00,1.0000000000e+00,2.8643997660e-08,2.0562940729e-08,2.0562940729e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.2212453271e-15
9100,9100,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.0406312109e-08,2.4419252795e-08,2.4419252795e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.3322676296e-15
9150,9150,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.3120260604e-08,2.5013822201e-08,2.5013822201e+00,nan,nan,4,0.0000000000e+00,8.8817841970e-16,1.2212453271e-15
9167,9167,0,1e-08,1.0000000000e+00,1.0000000000e+00,3.4447789437e-08,2.5292463301e-08,2.5292463301e+00,1.8558427303e-03,2.5292463301e+00,4,0.0000000000e+00,8.8817841970e-16,1.2212453271e-15
9200,9200,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.0678198728e-08,9.9866976675e-09,9.9866976675e-01,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.2212453271e-15
9250,9250,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.3095971152e-08,1.0617230382e-08,1.0617230382e+00,nan,nan,4,0.0000000000e+00,2.2204460493e-16,1.3322676296e-15
9300,9300,0,1e-08,1.0000000000e+00,1.0000000000e+00,1.6102458078e-08,1.3572012938e-08,1.3572012938e+00,nan,nan,4,0.0000000000e+00,1.1102230246e-16,1.1102230246e-15
