N,seed,parent_ok,M,parent_residual,sigma_max,sigma_from_flow,rel_equilibrium_defect,max_Re,a_flow_per_tau,n_unstable,unstable_freq,n_zero_freq,n_distinct_freq,freq_min,freq_max,freqs
14,1,True,91,2.730649999657811e-12,0.4554224073917062,0.4554224073917064,5.9958621040526004e-12,7.452870949265747e-07,1.4905741898531494e-06,0,,140,21,5.017855936501234e-07,0.9108448147833553,0.000001;0.002063;0.010178;0.013563;0.014942;0.024995;0.045833;0.346804;0.370178;0.379973;0.390242;0.397934;0.401694;0.403126;0.407694;0.411414;0.414034;0.418834;0.419206;0.420246;0.910845
14,2,True,91,1.0660048092395246e-13,0.44567399182508277,0.4456739918250829,2.391861845550361e-13,1.0910391668658703e-06,2.1820783337317406e-06,1,0.0,140,21,6.865937781944021e-07,0.8913479836510886,0.000001;0.002799;0.007686;0.013564;0.022697;0.036047;0.053952;0.326659;0.348384;0.373245;0.385666;0.387662;0.395508;0.397563;0.405339;0.405850;0.407803;0.409109;0.410576;0.411248;0.891348
14,3,True,91,6.371795742010302e-13,0.45509363740315256,0.45509363740315256,1.4001122177969325e-12,2.8178581448487874e-10,5.635716289697575e-10,0,,138,21,6.823397159021093e-07,0.9101872748059752,0.000001;0.004064;0.008089;0.012564;0.017846;0.030635;0.040191;0.343340;0.364770;0.380755;0.388247;0.395479;0.402722;0.407408;0.410475;0.412842;0.413888;0.417107;0.419655;0.420059;0.910187
14,4,True,91,2.6936985325871226e-13,0.45055956095556543,0.45055956095556593,5.978553860871259e-13,2.434806824230697e-10,4.869613648461394e-10,0,,138,21,6.360326543712874e-07,0.9011191219123118,0.000001;0.003486;0.008369;0.011234;0.021904;0.034562;0.067256;0.323847;0.363814;0.373386;0.388578;0.394815;0.398769;0.402757;0.407123;0.408995;0.411073;0.413761;0.415575;0.415897;0.901119
15,0,True,105,1.3315551948431286e-11,0.4479003696035777,0.4479003696035775,2.972882605544668e-11,1.2836419271080742e-06,2.5672838542161485e-06,1,0.0,166,22,0.0029492502189731105,0.8958007392080194,0.002949;0.006481;0.007592;0.010668;0.024490;0.028396;0.045897;0.331312;0.353971;0.381382;0.391177;0.397275;0.398473;0.404871;0.406940;0.409846;0.410885;0.412274;0.414464;0.415114;0.415323;0.895801
15,1,True,105,8.867121753850996e-12,0.4521239375946784,0.45212393759467795,1.9612147993723958e-11,2.948196563124799e-07,5.896393126249598e-07,0,,164,23,9.292285482967531e-08,0.9042478751887639,0.000000;0.000392;0.003977;0.014001;0.018786;0.024955;0.029824;0.048198;0.355328;0.372684;0.376215;0.382259;0.390280;0.401719;0.406445;0.409370;0.414123;0.415248;0.416199;0.418981;0.419512;0.419765;0.904248
15,2,True,105,9.798742407473774e-13,0.4516817787295029,0.45168177872950266,2.1693904348215073e-12,1.6666641747245837e-10,3.3333283494491674e-10,0,,164,23,5.211531773762096e-07,0.903363557458747,0.000001;0.002507;0.006347;0.007363;0.012802;0.017273;0.021772;0.034697;0.355399;0.366761;0.379471;0.390299;0.396964;0.400095;0.403979;0.406763;0.409721;0.414782;0.416417;0.417469;0.418611;0.419096;0.903364
15,3,True,105,1.980281953066624e-11,0.4482060328448428,0.448206032844843,4.418240394019169e-11,1.399038223726804e-09,2.798076447453608e-09,0,,162,24,1.383789265631345e-09,0.8964120656897817,0.000000;0.000001;0.001482;0.004650;0.007670;0.011245;0.020117;0.031205;0.057001;0.335226;0.365786;0.378459;0.386958;0.394801;0.398687;0.402175;0.405973;0.409999;0.410630;0.413476;0.414192;0.414788;0.416092;0.896412
15,4,True,105,2.4684709159454805e-11,0.4560542776488431,0.4560542776488435,5.412669375706194e-11,4.3832569147920785e-07,8.766513829584157e-07,0,,164,23,7.019152197510081e-09,0.9121085552966045,0.000000;0.001125;0.001775;0.006759;0.008616;0.016200;0.027706;0.033018;0.363290;0.373089;0.386370;0.390292;0.401181;0.403323;0.407302;0.412911;0.414485;0.416769;0.416927;0.420703;0.421528;0.422855;0.912109
16,0,True,120,9.383977435598456e-13,0.4558842486620092,0.45588424866200933,2.0584111588349862e-12,7.805427671679732e-07,1.5610855343359464e-06,0,,192,24,1.0562034854093803e-06,0.9117684973248178,0.000001;0.001355;0.003804;0.007785;0.010322;0.017215;0.032979;0.046184;0.360693;0.361894;0.381796;0.392462;0.406069;0.411082;0.412801;0.416959;0.418156;0.420440;0.422362;0.424142;0.424222;0.424906;0.425257;0.911768
