N,seed,M,parent_residual,sigma_max,phi,relative_equilibrium_defect,mu_G_max,lambda_G,lambda_f_pred,n_unstable,mu_top4,lambda_DF_max
16,0,120,9.383977435598456e-13,0.4558842486620092,0.023100042040062503,4.758895409612575e-14,1.000160515106223,0.0001605022250516808,0.0003210044501033616,22,"1.000161, 1.000161, 1.000157, 1.000157",6.553354693665608e-05
16,1,120,1.3850253961569252e-11,0.45438272888371883,0.02302395875772866,7.018302134627951e-13,1.0001597398233528,0.00015972706630576093,0.00031945413261152186,23,"1.000160, 1.000160, 1.000150, 1.000150",6.513288377952261e-05
16,2,120,7.163513242075953e-12,0.45851304766348067,0.023233245517978306,3.629573492719062e-13,1.0001562580318404,0.0001562458248257394,0.0003124916496514788,22,"1.000156, 1.000156, 1.000147, 1.000147",6.605675153131071e-05
16,3,120,1.3109646603992084e-13,0.4623187155524645,0.02342608194188205,6.7186792305893366e-15,1.0001602294562904,0.0001602166209220701,0.0003204332418441402,28,"1.000160, 1.000160, 1.000151, 1.000151",6.738368138071004e-05
16,4,120,8.286732037915493e-13,0.45059035574921336,0.022831795990324626,4.195084449584009e-14,1.0001550329548679,0.0001550209385012425,0.000310041877002485,24,"1.000155, 1.000155, 1.000151, 1.000151",6.414101768127014e-05
17,0,136,8.071730735810368e-12,0.4640000728208532,0.02351127774256654,4.0905061196466835e-13,1.0001622778978294,0.00016226473219565674,0.0003245294643913135,26,"1.000162, 1.000162, 1.000158, 1.000158",6.861503142291374e-05
17,1,136,6.039875088467699e-12,0.4584746470546138,0.02323129972651528,3.06090716569903e-13,1.0001548973455148,0.00015488535015963,0.00030977070031926,26,"1.000155, 1.000155, 1.000150, 1.000150",6.685625550671634e-05
17,2,136,3.297551579692712e-12,0.4613100627308032,0.02337497264680868,1.6710555373886822e-13,1.0001569999206354,0.0001569875974377185,0.000313975194875437,29,"1.000157, 1.000157, 1.000153, 1.000153",6.735349084578272e-05
17,3,136,7.432895553710827e-12,0.4654161458295121,0.023583031364517292,3.766613778959969e-13,1.000154398556522,0.00015438663829162307,0.00030877327658324614,28,"1.000154, 1.000154, 1.000150, 1.000150",6.891832210845289e-05
17,4,136,7.859424622209956e-14,0.45895959952041787,0.023255872679804175,4.0657322206807005e-15,1.0001513454438102,0.00015133399224396835,0.0003026679844879367,23,"1.000151, 1.000151, 1.000151, 1.000151",6.624917756359588e-05
18,0,153,2.708388710011751e-13,0.46743689254414134,0.023685424316669593,1.3807439478509276e-14,1.0001655293844203,0.00016551568594336383,0.00033103137188672765,25,"1.000166, 1.000166, 1.000159, 1.000159",6.914939525610909e-05
18,1,153,7.430797337563003e-15,0.45853555188687944,0.023234385826089707,9.760713530065846e-16,1.0001584298885382,0.00015841733984878597,0.00031683467969757193,30,"1.000158, 1.000158, 1.000149, 1.000149",6.647099077403304e-05
18,2,153,1.0347184568751543e-11,0.46632112185735275,0.02362888726840021,5.243742037152618e-13,1.0001592145898732,0.00015920191657557494,0.0003184038331511499,26,"1.000159, 1.000159, 1.000153, 1.000153",6.91061927248779e-05
18,3,153,4.444856960270973e-12,0.46400748821060955,0.02351165348666286,2.252275415972221e-13,1.0001587601465491,0.00015874754549075518,0.00031749509098151035,29,"1.000159, 1.000159, 1.000151, 1.000151",6.853608939645226e-05
18,4,153,6.843591923618789e-13,0.46326317522840577,0.023473938515745845,3.476981152116248e-14,1.0001606766419509,0.0001606637348417799,0.0003213274696835598,27,"1.000161, 1.000161, 1.000151, 1.000151",6.816109994367683e-05
