t,H,Q2_re,Q2_im,generator_norm
168,np.float64(522.7794514075865),np.float64(-42.36880475352746),np.float64(71.58935334594177),np.float64(22.870413094598153)
169,np.float64(522.7794514075836),np.float64(-42.36880475352709),np.float64(71.58935334594102),np.float64(22.867228989514764)
170,np.float64(522.7794514075846),np.float64(-42.36880475352733),np.float64(71.58935334594096),np.float64(22.864592119944298)
171,np.float64(522.7794514075848),np.float64(-42.368804753527876),np.float64(71.58935334594055),np.float64(22.87003133534621)
172,np.float64(522.7794514075841),np.float64(-42.36880475352817),np.float64(71.58935334594022),np.float64(22.877766837067497)
173,np.float64(522.7794514075854),np.float64(-42.36880475352809),np.float64(71.58935334594032),np.float64(22.87512416809749)
174,np.float64(522.7794514075847),np.float64(-42.3688047535282),np.float64(71.58935334594014),np.float64(22.867739533288393)
175,np.float64(522.7794514075841),np.float64(-42.3688047535279),np.float64(71.58935334594027),np.float64(22.867125871638503)
176,np.float64(522.7794514075824),np.float64(-42.368804753528),np.float64(71.58935334594037),np.float64(22.86790382965431)
177,np.float64(522.779451407581),np.float64(-42.36880475352801),np.float64(71.58935334594022),np.float64(22.867503298294753)
178,np.float64(522.7794514075811),np.float64(-42.36880475352818),np.float64(71.58935334593994),np.float64(22.871298269727227)
179,np.float64(522.7794514075811),np.float64(-42.368804753527876),np.float64(71.58935334594038),np.float64(22.87366809469839)
180,np.float64(522.7794514075815),np.float64(-42.368804753528025),np.float64(71.58935334593994),np.float64(22.870006857917954)
181,np.float64(522.7794514075804),np.float64(-42.368804753528),np.float64(71.58935334593997),np.float64(22.86774849958162)
182,np.float64(522.779451407577),np.float64(-42.36880475352801),np.float64(71.58935334593897),np.float64(22.872188861024423)
183,np.float64(522.7794514075756),np.float64(-42.368804753527726),np.float64(71.58935334593868),np.float64(22.874464324212823)
184,np.float64(522.7794514075763),np.float64(-42.368804753527286),np.float64(71.5893533459388),np.float64(22.866745594461534)
185,np.float64(522.7794514075758),np.float64(-42.36880475352679),np.float64(71.58935334593886),np.float64(22.86085886400131)
186,np.float64(522.7794514075777),np.float64(-42.36880475352705),np.float64(71.58935334593917),np.float64(22.86611081868229)
187,np.float64(522.7794514075775),np.float64(-42.368804753527286),np.float64(71.58935334593886),np.float64(22.8708440718403)
188,np.float64(522.7794514075763),np.float64(-42.3688047535274),np.float64(71.58935334593875),np.float64(22.873554314174537)
189,np.float64(522.7794514075771),np.float64(-42.36880475352741),np.float64(71.5893533459388),np.float64(22.876544166622033)
190,np.float64(522.7794514075777),np.float64(-42.368804753527435),np.float64(71.58935334593865),np.float64(22.873572664604318)
191,np.float64(522.7794514075781),np.float64(-42.3688047535274),np.float64(71.58935334593879),np.float64(22.866200099435297)
192,np.float64(522.7794514075761),np.float64(-42.368804753526966),np.float64(71.58935334593897),np.float64(22.86382162789309)
193,np.float64(522.7794514075758),np.float64(-42.36880475352696),np.float64(71.58935334593932),np.float64(22.869081531640777)
194,np.float64(522.7794514075756),np.float64(-42.36880475352723),np.float64(71.5893533459396),np.float64(22.8702614209127)
195,np.float64(522.7794514075747),np.float64(-42.36880475352709),np.float64(71.58935334593936),np.float64(22.863146512589672)
196,np.float64(522.7794514075749),np.float64(-42.36880475352734),np.float64(71.58935334593895),np.float64(22.863111703311763)
197,np.float64(522.779451407575),np.float64(-42.36880475352734),np.float64(71.58935334593885),np.float64(22.871319146894496)
198,np.float64(522.7794514075741),np.float64(-42.368804753527385),np.float64(71.5893533459386),np.float64(22.87551135030178)
199,np.float64(522.7794514075733),np.float64(-42.36880475352743),np.float64(71.58935334593828),np.float64(22.87593644232166)
200,np.float64(522.7794514075739),np.float64(-42.36880475352713),np.float64(71.58935334593795),np.float64(22.873719902025208)
201,np.float64(522.7794514075704),np.float64(-42.36880475352655),np.float64(71.58935334593758),np.float64(22.866686625138506)
202,np.float64(522.7794514075688),np.float64(-42.36880475352627),np.float64(71.5893533459373),np.float64(22.85977947257517)
203,np.float64(522.7794514075692),np.float64(-42.368804753525865),np.float64(71.58935334593741),np.float64(22.862369748792744)
204,np.float64(522.7794514075692),np.float64(-42.36880475352595),np.float64(71.58935334593733),np.float64(22.87096500117895)
205,np.float64(522.7794514075683),np.float64(-42.36880475352586),np.float64(71.5893533459371),np.float64(22.871146805828555)
206,np.float64(522.7794514075694),np.float64(-42.368804753525986),np.float64(71.5893533459371),np.float64(22.864375871929905)
207,np.float64(522.7794514075707),np.float64(-42.368804753526014),np.float64(71.58935334593748),np.float64(22.866195122917908)
208,np.float64(522.7794514075728),np.float64(-42.36880475352671),np.float64(71.58935334593724),np.float64(22.873330077704)
209,np.float64(522.7794514075727),np.float64(-42.368804753526575),np.float64(71.5893533459373),np.float64(22.87426712956895)
210,np.float64(522.7794514075733),np.float64(-42.368804753526916),np.float64(71.58935334593731),np.float64(22.872079892349333)
211,np.float64(522.7794514075729),np.float64(-42.36880475352663),np.float64(71.58935334593733),np.float64(22.86810858687367)
212,np.float64(522.7794514075739),np.float64(-42.36880475352663),np.float64(71.58935334593784),np.float64(22.861645353442675)
213,np.float64(522.779451407574),np.float64(-42.36880475352645),np.float64(71.58935334593798),np.float64(22.859775087250465)
214,np.float64(522.7794514075732),np.float64(-42.36880475352647),np.float64(71.5893533459381),np.float64(22.867512100053013)
215,np.float64(522.7794514075729),np.float64(-42.36880475352643),np.float64(71.58935334593836),np.float64(22.87557413628627)
216,np.float64(522.7794514075713),np.float64(-42.36880475352603),np.float64(71.58935334593872),np.float64(22.87055312258224)
217,np.float64(522.7794514075733),np.float64(-42.368804753526234),np.float64(71.58935334593912),np.float64(22.86172900228734)
218,np.float64(522.7794514075738),np.float64(-42.36880475352603),np.float64(71.58935334593914),np.float64(22.865188308703544)
219,np.float64(522.7794514075752),np.float64(-42.36880475352611),np.float64(71.58935334593929),np.float64(22.87135942163222)
