label,step,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,level_only_predictor,slope_predictor,balance_error
linear_decrease_C,11,2.2499999999999996e-06,-4.999999999999952e-08,-3.0487804878050425e-11,-3.0487804878048487e-11,2.2499999999999996e-06,-4.999999999999952e-08,-1.9387045606711586e-24
linear_decrease_C,12,2.2e-06,-5.000000000000037e-08,-3.0487804878047117e-11,-3.0487804878049004e-11,2.2e-06,-5.000000000000037e-08,1.8870057723865944e-24
linear_decrease_C,13,2.1499999999999997e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,2.1499999999999997e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,14,2.1e-06,-4.9999999999999945e-08,-3.0487804878047117e-11,-3.0487804878048745e-11,2.1e-06,-4.9999999999999945e-08,1.6285118309637732e-24
linear_decrease_C,15,2.05e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,2.05e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,16,2e-06,-4.9999999999999945e-08,-3.0487804878047117e-11,-3.0487804878048745e-11,2e-06,-4.9999999999999945e-08,1.6285118309637732e-24
linear_decrease_C,17,1.95e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.95e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,18,1.9e-06,-5.0000000000000157e-08,-3.0487804878047117e-11,-3.0487804878048874e-11,1.9e-06,-5.0000000000000157e-08,1.7577588016751838e-24
linear_decrease_C,19,1.8499999999999999e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.8499999999999999e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,20,1.8e-06,-4.9999999999999945e-08,-3.0487804878047117e-11,-3.0487804878048745e-11,1.8e-06,-4.9999999999999945e-08,1.6285118309637732e-24
linear_decrease_C,21,1.75e-06,-5.0000000000000157e-08,-3.0487804878047117e-11,-3.0487804878048874e-11,1.75e-06,-5.0000000000000157e-08,1.7577588016751838e-24
linear_decrease_C,22,1.6999999999999998e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.6999999999999998e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,23,1.6499999999999999e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.6499999999999999e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,24,1.6e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.6e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,25,1.55e-06,-4.9999999999999945e-08,-3.048780487804381e-11,-3.0487804878048745e-11,1.55e-06,-4.9999999999999945e-08,4.937234281175884e-24
linear_decrease_C,26,1.5e-06,-5.0000000000000157e-08,-3.0487804878050425e-11,-3.0487804878048874e-11,1.5e-06,-5.0000000000000157e-08,-1.5509636485369269e-24
linear_decrease_C,27,1.4499999999999999e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.4499999999999999e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,28,1.4e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.4e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,29,1.35e-06,-5.0000000000000157e-08,-3.048780487804381e-11,-3.0487804878048874e-11,1.35e-06,-5.0000000000000157e-08,5.0664812518872945e-24
linear_decrease_C,30,1.2999999999999998e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.2999999999999998e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,31,1.2499999999999999e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.2499999999999999e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,32,1.2e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.2e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,33,1.15e-06,-4.9999999999999945e-08,-3.048780487804381e-11,-3.0487804878048745e-11,1.15e-06,-4.9999999999999945e-08,4.937234281175884e-24
linear_decrease_C,34,1.1e-06,-5.0000000000000157e-08,-3.0487804878050425e-11,-3.0487804878048874e-11,1.1e-06,-5.0000000000000157e-08,-1.5509636485369269e-24
linear_decrease_C,35,1.05e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1.05e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,36,1e-06,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,1e-06,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,37,9.5e-07,-5.0000000000000157e-08,-3.048780487804381e-11,-3.0487804878048874e-11,9.5e-07,-5.0000000000000157e-08,5.0664812518872945e-24
linear_decrease_C,38,8.999999999999999e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,8.999999999999999e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,39,8.499999999999999e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,8.499999999999999e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
linear_decrease_C,40,8e-07,-4.9999999999999945e-08,-3.0487804878050425e-11,-3.0487804878048745e-11,8e-07,-4.9999999999999945e-08,-1.6802106192483375e-24
