label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,blind_window_length
C_decay_0_97,combined_minus_R2_R3_residual,31,A,4.9756644971191664e-11,6.72888962942445e-11,-6.72888962942445e-11,-1.7532251323052833e-11,6.068551156258969e-06,1.1035378992256098e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,32,A,4.750822037337269e-11,6.52721983437607e-11,-6.52721983437607e-11,-1.7763977970388014e-11,6.17890494618153e-06,1.0704640528376756e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,33,A,4.53371880849659e-11,6.331600759439022e-11,-6.331600759439022e-11,-1.797881950942432e-11,6.285951351465298e-06,1.0383825245479996e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,34,A,4.324067495666169e-11,6.141850820292943e-11,-6.141850820292943e-11,-1.817783324626774e-11,6.389789603920098e-06,1.0072635345280426e-07,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,35,A,4.121590562741013e-11,5.957793886428341e-11,-5.957793886428341e-11,-1.836203323687328e-11,6.490515957372902e-06,9.770781973742479e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,36,A,3.9260201345351145e-11,5.779259116902e-11,-5.779259116902e-11,-1.8532389823668852e-11,6.588223777110327e-06,9.47798495171928e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,37,A,3.7370980882610056e-11,5.6060808010843006e-11,-5.6060808010843006e-11,-1.868982712823295e-11,6.68300362662752e-06,9.193972513778253e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,38,A,3.554575880057413e-11,5.4380982042426865e-11,-5.4380982042426865e-11,-1.8835223241852733e-11,6.774943351765302e-06,8.918481054958006e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,39,A,3.3782144196283816e-11,5.275155417805193e-11,-5.275155417805193e-11,-1.8969409981768114e-11,6.864128162314882e-06,8.651254885200517e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,40,A,3.207783884573651e-11,5.1171012141642827e-11,-5.1171012141642827e-11,-1.9093173295906317e-11,6.9506407111668875e-06,8.392045991229424e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,41,A,3.043063500160091e-11,4.96378890587652e-11,-4.96378890587652e-11,-1.920725405716429e-11,7.034561171079182e-06,8.140613805637492e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,42,A,2.8838412255806963e-11,4.815076209124369e-11,-4.815076209124369e-11,-1.931234983543673e-11,7.115967309135557e-06,7.896724982963965e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,43,A,2.729913629948965e-11,4.67082511130641e-11,-4.67082511130641e-11,-1.9409114813574448e-11,7.194934558965196e-06,7.660153182542512e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,44,A,2.5810854504865113e-11,4.53090174263044e-11,-4.53090174263044e-11,-1.9498162921439287e-11,7.271536090790621e-06,7.430678857913922e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,45,A,2.4371693770378847e-11,4.3951762515867276e-11,-4.3951762515867276e-11,-1.958006874548843e-11,7.345842879369761e-06,7.208089052602233e-08,True,C_decay_0_97,46
C_decay_0_97,combined_minus_R2_R3_residual,46,A,2.2979857986383124e-11,4.263522684179234e-11,-4.263522684179234e-11,-1.965536885540922e-11,7.417923769895783e-06,6.992177202053944e-08,True,C_decay_0_97,46
R_decay_0_78,combined_minus_R2_R3_residual,1,A,1.5034785697036372e-10,1.5087271413128227e-10,-1.5087271413128227e-10,-5.248571609185476e-13,5.612790126948601e-07,2.474312511753029e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,2,A,1.3790436854262598e-10,1.3880338244128744e-10,-1.3880338244128744e-10,-8.990138986614611e-13,8.08710263870163e-07,2.276375472037114e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,3,A,1.2641159981059826e-10,1.2769969371731653e-10,-1.2769969371731653e-10,-1.2880939067182748e-12,1.0363478110738744e-06,2.094274976963991e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,4,A,1.1581697523815356e-10,1.1748437529722837e-10,-1.1748437529722837e-10,-1.6674000590748135e-12,1.2457753087702736e-06,1.9267437548745452e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,5,A,1.0606395939555163e-10,1.0808634100223026e-10,-1.0808634100223026e-10,-2.022381606678632e-12,1.438449684257728e-06,1.7726159924365762e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,6,A,9.709483031553542e-11,9.944019519065116e-11,-9.944019519065116e-11,-2.3453648751157382e-12,1.6157112835013857e-06,1.630819201126679e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,7,A,8.885254517964153e-11,9.148577671347882e-11,-9.148577671347882e-11,-2.633231533837299e-12,1.7787932036140536e-06,1.5003667381010526e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,8,A,8.128195405976828e-11,8.416773952978873e-11,-8.416773952978873e-11,-2.885785470020457e-12,1.928829877424159e-06,1.3803509282885352e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,9,A,7.433054919166242e-11,7.743516701048148e-11,-7.743516701048148e-11,-3.104617818819061e-12,2.0668649702530124e-06,1.2699367389718962e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,10,A,6.794888720220858e-11,7.124121720499891e-11,-7.124121720499891e-11,-3.2923300027903225e-12,2.193858644150202e-06,1.1683559621619822e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,11,A,6.209078457159925e-11,6.554279657038518e-11,-6.554279657038518e-11,-3.452011998785928e-12,2.3106942403664002e-06,1.0749018637543169e-07,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,12,A,5.67133583807017e-11,6.030025986729043e-11,-6.030025986729043e-11,-3.5869014865887354e-12,2.418184426741832e-06,9.889242618235631e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,13,A,5.177696500831898e-11,5.54771341152048e-11,-5.54771341152048e-11,-3.700169106885821e-12,2.5170768529241882e-06,9.098249994893588e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,14,A,4.7245073412519945e-11,5.103986467097934e-11,-5.103986467097934e-11,-3.794791258459394e-12,2.608059352873124e-06,8.370537806040612e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,15,A,4.3084099618707255e-11,4.695758165204211e-11,-4.695758165204211e-11,-3.873482033334857e-12,2.6917647309335302e-06,7.701043390934906e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,16,A,3.926322066883053e-11,4.320188506991769e-11,-4.320188506991769e-11,-3.93866440108716e-12,2.7687751648428793e-06,7.085109151466502e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,17,A,3.5754180107046285e-11,3.974664717189343e-11,-3.974664717189343e-11,-3.992467064847147e-12,2.8396262563575443e-06,6.518450136190523e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,18,A,3.2531094185355835e-11,3.656783061007481e-11,-3.656783061007481e-11,-4.036736424718977e-12,2.9048107577194495e-06,5.99712422005227e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,19,A,2.9570263323388623e-11,3.364332116835217e-11,-3.364332116835217e-11,-4.073057844963547e-12,2.9647819999199722e-06,5.517504671609756e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,20,A,2.6849992793221344e-11,3.0952773880175055e-11,-3.0952773880175055e-11,-4.102781086953711e-12,3.0199570466360698e-06,5.0762549163487094e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,21,A,2.435042441054319e-11,2.847747146386734e-11,-2.847747146386734e-11,-4.127047053324151e-12,3.070719595799557e-06,4.670305320074244e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,22,A,2.2053379520158424e-11,2.6200194088551988e-11,-2.6200194088551988e-11,-4.146814568393564e-12,3.1174226490002993e-06,4.296831830522526e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,23,A,1.9942214548069746e-11,2.4105099563060046e-11,-2.4105099563060046e-11,-4.162885014990299e-12,3.1603909673055246e-06,3.9532363283418474e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,24,A,1.8001687856369322e-11,2.2177613113023794e-11,-2.2177613113023794e-11,-4.175925256654471e-12,3.199923330588943e-06,3.6371285505359024e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,25,A,1.621783786705613e-11,2.0404325978383245e-11,-2.0404325978383245e-11,-4.1864881113271164e-12,3.236294616094302e-06,3.346309460454852e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,26,A,1.457787214815371e-11,1.877290212511809e-11,-1.877290212511809e-11,-4.19502997696438e-12,3.2697577106988506e-06,3.0787559485193667e-08,True,R_decay_0_78,27
R_decay_0_78,combined_minus_R2_R3_residual,27,A,1.3070065693523546e-11,1.727199242159103e-11,-1.727199242159103e-11,-4.201926728067485e-12,3.3005452701840443e-06,2.832606757140929e-08,True,R_decay_0_78,27
R_decay_0_96,combined_minus_R2_R3_residual,1,A,1.5027404498705738e-10,1.508727507359852e-10,-1.508727507359852e-10,-5.98705748927826e-13,5.612790126948601e-07,2.4743131120701573e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,2,A,1.3763791098584497e-10,1.3880351641446106e-10,-1.3880351641446106e-10,-1.1656054286160908e-12,8.087103239018758e-07,2.2763776691971614e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,3,A,1.258087492324343e-10,1.2770000068417795e-10,-1.2770000068417795e-10,-1.891251451743635e-12,1.036348090821592e-06,2.0942800112205183e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,4,A,1.1472289520058299e-10,1.1748493886715772e-10,-1.1748493886715772e-10,-2.762043666574729e-12,1.2457760919436438e-06,1.9267529974213866e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,5,A,1.0432203224020699e-10,1.0808724774711001e-10,-1.0808724774711001e-10,-3.765215506903027e-12,1.4384513916857825e-06,1.7726308630526042e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,6,A,9.45527418737453e-11,9.944153104102245e-11,-9.944153104102245e-11,-4.888789167277156e-12,1.6157144779910429e-06,1.6308411090727682e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,7,A,8.536609153617184e-11,9.148762443348304e-11,-9.148762443348304e-11,-6.121532897311201e-12,1.7787985888983197e-06,1.500397040709122e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,8,A,7.671725644212363e-11,8.417017700869228e-11,-8.417017700869228e-11,-7.452920566568652e-12,1.928838292969232e-06,1.3803909029425535e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,9,A,6.856517292898502e-11,7.743826616833538e-11,-7.743826616833538e-11,-8.873093239350358e-12,2.0668773832634873e-06,1.2699875651607002e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,10,A,6.087222073567622e-11,7.124504335643471e-11,-7.124504335643471e-11,-1.0372822620758491e-11,2.1938761397795573e-06,1.1684187110455292e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,11,A,5.360393166736516e-11,6.554740812659296e-11,-6.554740812659296e-11,-1.1943476459227802e-11,2.31071801088411e-06,1.0749774932761246e-07,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,12,A,4.672872266912778e-11,6.03057082842401e-11,-6.03057082842401e-11,-1.357698561511233e-11,2.4182157602117226e-06,9.890136158615377e-08,True,R_decay_0_96,15
R_decay_0_96,combined_minus_R2_R3_residual,13,A,4.0217651151163857e-11,5.5483464017852834e-11,-5.5483464017852834e-11,-1.5265812866688977e-11,2.5171171217978764e-06,9.099288098927865e-08,True,R_decay_0_96,15
