N,series,denominator,onset_gt_0.05,initial,step1,final,max
28,N-1,27,-1,7.581288001363486e-32,3.598284991681125e-30,2.6193203274736943e-15,2.6193203274736943e-15
28,N,28,-1,7.581288001363486e-32,3.567782842148589e-30,9.280079040463001e-17,9.280079040463001e-17
28,N+1,29,-1,7.581288001363486e-32,3.4838857434624854e-30,1.4802472513037335e-17,1.4802472513037335e-17
28,N+2,30,-1,7.581288001363486e-32,3.599118031488749e-30,6.791886477384238e-19,6.791886477384238e-19
28,124,124,-1,7.581288001363486e-32,3.410842080688317e-30,6.368593567546005e-27,6.368593567546005e-27
29,N-2,27,-1,7.248279933267581e-31,4.078881190822396e-30,1.3634967543052342e-15,1.3634967543052342e-15
29,N-1,28,-1,7.248279933267581e-31,3.683064120804887e-30,7.237162459936661e-17,7.237162459936661e-17
29,N,29,-1,7.248279933267581e-31,3.646297928176268e-30,3.931785359585222e-17,3.931785359585222e-17
29,N+1,30,-1,7.248279933267581e-31,3.875591233834707e-30,2.076506258906684e-18,2.076506258906684e-18
29,N+2,31,-1,7.248279933267581e-31,3.847815495701873e-30,7.248785096611651e-19,7.248785096611651e-19
29,124,124,-1,7.248279933267581e-31,3.710745000777007e-30,1.2537306399521751e-26,1.2537306399521751e-26
30,N-2,28,-1,1.3469935111873837e-32,3.8922452350050316e-30,6.681786704979014e-16,6.681786704979014e-16
30,N-1,29,-1,1.3469935111873837e-32,3.765538380049438e-30,4.3207041672928016e-18,4.3207041672928016e-18
30,N,30,-1,1.3469935111873837e-32,3.941050299774413e-30,1.3864912441223632e-18,1.3864912441223632e-18
30,N+1,31,-1,1.3469935111873837e-32,3.791025859107358e-30,7.649772118828273e-19,7.649772118828273e-19
30,N+2,32,-1,1.3469935111873837e-32,3.819375504163129e-30,3.80553281747847e-21,3.80553281747847e-21
30,124,124,-1,1.3469935111873837e-32,4.0957821160343254e-30,5.4090537807921046e-27,5.4090537807921046e-27
31,N-2,29,-1,6.778229002927972e-32,4.089428576329394e-30,2.297921368185048e-17,2.297921368185048e-17
31,N-1,30,-1,6.778229002927972e-32,4.08334865365075e-30,5.454846276764497e-18,5.454846276764497e-18
31,N,31,-1,6.778229002927972e-32,4.171667195727318e-30,5.360023054424276e-19,5.360023054424276e-19
31,N+1,32,-1,6.778229002927972e-32,4.137711952018534e-30,8.395327544973762e-21,8.395327544973762e-21
31,N+2,33,-1,6.778229002927972e-32,4.112945309919433e-30,1.6524151256078803e-20,1.6524151256078803e-20
31,124,124,-1,6.778229002927972e-32,4.155085247790729e-30,1.4061195160302236e-26,1.4061195160302236e-26
32,N-2,30,-1,2.497756017090388e-31,4.329317932323399e-30,1.7054408307238912e-18,1.7054408307238912e-18
32,N-1,31,-1,2.497756017090388e-31,4.1554428994930475e-30,2.7386729717727668e-19,2.7386729717727668e-19
32,N,32,-1,2.497756017090388e-31,4.310414883731863e-30,3.701546139083041e-20,3.701546139083041e-20
32,N+1,33,-1,2.497756017090388e-31,4.026993409718761e-30,5.25015746198611e-21,5.25015746198611e-21
32,N+2,34,-1,2.497756017090388e-31,4.1319244449087076e-30,1.0872377056711748e-22,1.0872377056711748e-22
32,124,124,-1,2.497756017090388e-31,3.9699846934372734e-30,8.94876348722353e-27,8.94876348722353e-27
33,N-2,31,-1,4.72157598025454e-30,4.306399101915173e-30,4.951214010025969e-19,4.951214010025969e-19
33,N-1,32,-1,4.72157598025454e-30,4.833175268872326e-30,9.56670712960574e-20,9.56670712960574e-20
33,N,33,-1,4.72157598025454e-30,4.494300884549636e-30,5.853427501487742e-22,5.853427501487742e-22
33,N+1,34,-1,4.72157598025454e-30,5.6101907550235894e-30,3.8841822352017514e-22,3.8841822352017514e-22
33,N+2,35,-1,4.72157598025454e-30,4.693157035489979e-30,3.8618227826995e-23,3.8618227826995e-23
33,124,124,-1,4.72157598025454e-30,4.4832809217851484e-30,1.9647304825304378e-26,1.9647304825304378e-26
