step,time,N,condition,initial_seed_enabled,metastable_seed_enabled,initial_seed_amplitude,metastable_seed_amplitude,parent_plane_occupation,f_outside_parent,q1,q2,q3,q4,rank_Q,dominant_plane_occupation,non_dominant_occupation,kernel_occupation,residual_occupation,norm_Z,dagger_norm_error,zero_square_real,zero_square_imag,zero_square_abs,projection_closure_error,crossing_detected,metastable_start_detected
1375,1375,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.3709158216e-01,5.6290841784e-01,1.3758600654e+00,1.1438246645e+00,8.3166407697e-01,3.2712242435e-01,4,9.9386478942e-01,1.9591822915e-01,3.6699018868e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-4.9960036108e-16,-2.6056665458e-17,5.0027939255e-16,0.0000000000e+00,1,0
1400,1400,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.1450281775e-01,5.8549718225e-01,1.3725864403e+00,1.1415972784e+00,8.3471890718e-01,3.4059721639e-01,4,9.9536918587e-01,2.1855852630e-01,3.6693865595e-01,0.0000000000e+00,1.0000000000e+00,8.8817841970e-16,-7.2164496601e-16,-4.3315865289e-17,7.2294378837e-16,0.0000000000e+00,1,0
1425,1425,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.1184782848e-01,5.8815217152e-01,1.3762842581e+00,1.1480132134e+00,8.2587266691e-01,3.2533312297e-01,4,9.9217294844e-01,2.4037302836e-01,3.4777914316e-01,0.0000000000e+00,1.0000000000e+00,4.4408920985e-16,-8.8817841970e-16,-1.0216790697e-16,8.9403533847e-16,0.0000000000e+00,1,0
1450,1450,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.2725873087e-01,5.7274126913e-01,1.3850573177e+00,1.1540449770e+00,8.1742289610e-01,2.8568553830e-01,4,9.8562573117e-01,2.5171940431e-01,3.2102186482e-01,0.0000000000e+00,1.0000000000e+00,6.6613381478e-16,-1.0547118734e-15,-2.1950524277e-16,1.0773113234e-15,0.0000000000e+00,1,0
1475,1475,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.5047090842e-01,5.4952909158e-01,1.3939456520e+00,1.1543201406e+00,8.1703427903e-01,2.3856973696e-01,4,9.8075759945e-01,2.5362793921e-01,2.9590115237e-01,0.0000000000e+00,1.0000000000e+00,9.9920072216e-16,-9.9920072216e-16,-3.3007183281e-16,1.0523067509e-15,0.0000000000e+00,1,0
1500,1500,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.7337138346e-01,5.2662861654e-01,1.4009491443e+00,1.1638025522e+00,8.0346973771e-01,1.9323947564e-01,4,9.7485681876e-01,2.5296084232e-01,2.7366777422e-01,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-1.3322676296e-15,-3.7182903748e-16,1.3831825150e-15,0.0000000000e+00,1,0
1525,1525,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.9244291261e-01,5.0755708739e-01,1.4037367297e+00,1.1974217631e+00,7.5245007890e-01,1.7182314684e-01,4,9.6687731759e-01,2.5719851371e-01,2.5035857368e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-8.8817841970e-16,-5.6883197632e-16,1.0547183143e-15,0.0000000000e+00,1,0
1550,1550,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.7958972014e-01,5.2041027986e-01,1.3943219672e+00,1.2053018416e+00,7.3976176608e-01,2.3636042750e-01,4,9.7283608130e-01,2.7412998392e-01,2.4628029594e-01,0.0000000000e+00,1.0000000000e+00,1.5543122345e-15,-8.3266726847e-16,-5.7568549016e-16,1.0122986533e-15,0.0000000000e+00,1,0
1575,1575,5,B,1,0,1.0000000000e-15,0.0000000000e+00,4.3799762408e-01,5.6200237592e-01,1.3788026270e+00,1.1876188934e+00,7.6782899397e-01,3.1448897547e-01,4,9.8119312255e-01,3.0762740994e-01,2.5437496598e-01,0.0000000000e+00,1.0000000000e+00,1.2212453271e-15,-1.1102230246e-15,-7.4902328255e-16,1.3392651127e-15,0.0000000000e+00,1,0
1600,1600,5,B,1,0,1.0000000000e-15,0.0000000000e+00,3.9584285004e-01,6.0415714996e-01,1.3664086137e+00,1.1726160611e+00,7.9055143623e-01,3.6459223840e-01,4,9.8159808545e-01,3.5502858519e-01,2.4912856477e-01,0.0000000000e+00,1.0000000000e+00,1.1102230246e-15,-1.2767564783e-15,-9.0004566115e-16,1.5621105265e-15,0.0000000000e+00,1,0
