族ID,分解能N,基底波長,利用可能な奇数倍音次数,利用可能な偶数倍音次数,選択する奇数倍音数,選択する偶数倍音数,波長・倍音構成数,各構成の位相数,位相込み波形数,反射率R（等振幅）,theta/pi,有限位数閉鎖,実回転周期,閉鎖住所,共役住所,住所電荷量sin2(pi*m/n),粒子・反粒子,巻数・被覆から読むスピン,共役方向を区別した候補状態数
N300-F226,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,0,10,16,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F227,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,1,120,32,3840,3/8,0.209784688372（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3840
N300-F228,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,2,660,64,42240,3/10,0.184505059783（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,42240
N300-F229,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,3,2200,128,281600,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,563200
N300-F230,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,4,4950,256,1267200,3/14,0.153194709503（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1267200
N300-F231,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,5,7920,512,4055040,3/16,0.142549479296（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4055040
N300-F232,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,6,9240,1024,9461760,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9461760
N300-F233,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,7,7920,2048,16220160,3/20,0.126591655553（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16220160
N300-F234,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,8,4950,4096,20275200,3/22,0.120393772853（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,20275200
N300-F235,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,9,2200,8192,18022400,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,18022400
N300-F236,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,10,660,16384,10813440,3/26,0.110319825644（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10813440
N300-F237,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,11,120,32768,3932160,3/28,0.106147807505（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3932160
N300-F238,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",3,12,10,65536,655360,1/10,0.10241638235（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,655360
N300-F239,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,0,5,32,160,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,320
N300-F240,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,1,60,64,3840,2/5,0.217952891576（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3840
N300-F241,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,2,330,128,42240,1/3,0.195913276015（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,42240
N300-F242,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,3,1100,256,281600,2/7,0.179508517986（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,281600
N300-F243,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,4,2475,512,1267200,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,2534400
N300-F244,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,5,3960,1024,4055040,2/9,0.156252809456（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4055040
N300-F245,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,6,4620,2048,9461760,1/5,0.14758361765（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,9461760
N300-F246,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,7,3960,4096,16220160,2/11,0.140218899004（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16220160
N300-F247,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,8,2475,8192,20275200,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,20275200
N300-F248,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,9,1100,16384,18022400,2/13,0.128297051499（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,18022400
N300-F249,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,10,330,32768,10813440,1/7,0.123375857214（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,10813440
N300-F250,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,11,60,65536,3932160,2/15,0.118981744628（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3932160
N300-F251,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",4,12,5,131072,655360,1/8,0.115026728081（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,655360
N300-F252,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,0,1,64,64,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,128
N300-F253,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,1,12,128,1536,5/12,0.223349810481（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1536
N300-F254,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,2,66,256,16896,5/14,0.203884584447（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16896
N300-F255,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,3,220,512,112640,5/16,0.18882135323（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,112640
N300-F256,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,4,495,1024,506880,5/18,0.176700555663（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,506880
N300-F257,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,5,792,2048,1622016,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3244032
N300-F258,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,6,924,4096,3784704,5/22,0.158178524581（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,3784704
N300-F259,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,7,792,8192,6488064,5/24,0.150874070243（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,6488064
N300-F260,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,8,495,16384,8110080,5/26,0.14450035432（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,8110080
N300-F261,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,9,220,32768,7208960,5/28,0.138874441986（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,7208960
N300-F262,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,10,66,65536,4325376,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,4325376
N300-F263,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,11,12,131072,1572864,5/32,0.129354065117（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,1572864
N300-F264,300,300lambda0,"75,25,15,5,3","300,150,100,60,50,30,20,12,10,6,4,2",5,12,1,262144,262144,5/34,0.125275355122（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,262144
