protocol,step,particle,C_memory,delta_C_memory_forward,actual_Ra,predicted_Ra_from_delta_C,balance_error
ramp_duration_4,11,B,3.8e-06,0.0,-1.2924697071141057e-24,-0.0,-1.2924697071141057e-24
ramp_duration_4,12,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,12,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,13,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,13,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,14,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,14,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,15,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,15,B,3.8e-06,0.0,2.5849394142282115e-24,-0.0,2.5849394142282115e-24
ramp_duration_4,16,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,16,B,3.8e-06,0.0,-5.169878828456423e-24,-0.0,-5.169878828456423e-24
ramp_duration_4,17,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,17,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,18,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,18,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,19,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,19,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,20,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,20,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,21,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,21,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,22,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,22,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,23,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,23,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,24,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,24,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,25,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,25,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,26,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,26,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,27,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,27,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,28,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,28,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,29,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,29,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,30,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,30,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,31,A,3.8e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
ramp_duration_4,31,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,32,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,32,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,33,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,33,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,34,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,34,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,35,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,35,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,36,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,36,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,37,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,37,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,38,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,38,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,39,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,39,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,40,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,40,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,41,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,41,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,42,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,42,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,43,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,43,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,44,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,44,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_4,45,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,45,B,3.8e-06,0.0,1.0339757656912846e-23,-0.0,1.0339757656912846e-23
ramp_duration_4,46,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_4,46,B,3.8e-06,0.0,-1.0339757656912846e-23,-0.0,-1.0339757656912846e-23
ramp_duration_8,1,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_8,1,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_8,2,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_8,2,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_8,3,A,0.0,0.0,0.0,0.0,0.0
ramp_duration_8,3,B,0.0,0.0,0.0,-0.0,0.0
ramp_duration_8,4,A,0.0,4.75e-07,2.8963414634146343e-10,2.8963414634146343e-10,0.0
ramp_duration_8,4,B,0.0,4.75e-07,-2.8963414634146343e-10,-2.8963414634146343e-10,0.0
ramp_duration_8,5,A,4.75e-07,4.75e-07,2.8963414634146343e-10,2.8963414634146343e-10,0.0
ramp_duration_8,5,B,4.75e-07,4.75e-07,-2.8963414634146343e-10,-2.8963414634146343e-10,0.0
ramp_duration_8,6,A,9.5e-07,4.749999999999999e-07,2.896341463414632e-10,2.896341463414634e-10,-1.550963648536927e-25
ramp_duration_8,6,B,9.5e-07,4.749999999999999e-07,-2.8963414634146343e-10,-2.896341463414634e-10,-5.169878828456423e-26
ramp_duration_8,7,A,1.425e-06,4.750000000000001e-07,2.8963414634146364e-10,2.896341463414635e-10,1.550963648536927e-25
ramp_duration_8,7,B,1.425e-06,4.750000000000001e-07,-2.8963414634146343e-10,-2.896341463414635e-10,5.169878828456423e-26
ramp_duration_8,8,A,1.9e-06,4.750000000000001e-07,2.8963414634146374e-10,2.896341463414635e-10,2.5849394142282115e-25
ramp_duration_8,8,B,1.9e-06,4.750000000000001e-07,-2.8963414634146374e-10,-2.896341463414635e-10,-2.5849394142282115e-25
ramp_duration_8,9,A,2.375e-06,4.749999999999997e-07,2.896341463414633e-10,2.896341463414632e-10,1.0339757656912846e-25
ramp_duration_8,9,B,2.375e-06,4.749999999999997e-07,-2.896341463414631e-10,-2.896341463414632e-10,1.0339757656912846e-25
ramp_duration_8,10,A,2.85e-06,4.750000000000001e-07,2.896341463414633e-10,2.896341463414635e-10,-1.550963648536927e-25
ramp_duration_8,10,B,2.85e-06,4.750000000000001e-07,-2.896341463414631e-10,-2.896341463414635e-10,3.618915179919496e-25
ramp_duration_8,11,A,3.325e-06,4.750000000000001e-07,2.896341463414625e-10,2.896341463414635e-10,-9.822769774067204e-25
ramp_duration_8,11,B,3.325e-06,4.750000000000001e-07,-2.8963414634146374e-10,-2.896341463414635e-10,-2.5849394142282115e-25
ramp_duration_8,12,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,12,B,3.8e-06,0.0,1.2924697071141057e-24,-0.0,1.2924697071141057e-24
ramp_duration_8,13,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,13,B,3.8e-06,0.0,-1.2924697071141057e-24,-0.0,-1.2924697071141057e-24
ramp_duration_8,14,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,14,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,15,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,15,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,16,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,16,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,17,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,17,B,3.8e-06,0.0,2.5849394142282115e-24,-0.0,2.5849394142282115e-24
ramp_duration_8,18,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,18,B,3.8e-06,0.0,-5.169878828456423e-24,-0.0,-5.169878828456423e-24
ramp_duration_8,19,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,19,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,20,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,20,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,21,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,21,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,22,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,22,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,23,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,23,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,24,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,24,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,25,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,25,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,26,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,26,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,27,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,27,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,28,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,28,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,29,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,29,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,30,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,30,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,31,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,31,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,32,A,3.8e-06,0.0,0.0,0.0,0.0
ramp_duration_8,32,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,33,A,3.8e-06,0.0,6.617444900424222e-24,0.0,6.617444900424222e-24
ramp_duration_8,33,B,3.8e-06,0.0,0.0,-0.0,0.0
ramp_duration_8,34,A,3.8e-06,0.0,0.0,0.0,0.0
