candidate,fit_valid,loglog_slope,power_candidate_alpha,loglog_intercept,log_rmse,case_count,min_value,max_value,frequency_ratio,amplitude_ratio,phase_shift_deg,readout_mode,filter,candidate_kind,alpha_near_positive_2
inv_A_chi_tau_constructed_control,True,-1.9999999999999998,1.9999999999999998,-0.8310572908000319,1.1027135350199802e-15,7,0.3972090807505872,1429.9526907021143,0.75,0.75,15.0,readout_normal,area_valid,constructed_reciprocal_control,True
derived_f_AB_over_A,True,-0.9999999999999987,0.9999999999999987,-6.2843565271997015,2.089714952445299e-15,7,0.001781189063707342,0.10687134382244055,0.75,0.75,15.0,readout_normal,area_valid,derived_ratio,False
derived_Q_raw_over_A,True,2.3055337606621347e-15,-2.3055337606621347e-15,-10.511401292021946,3.0025910814704438e-15,7,2.7224281191171197e-05,2.722428119117122e-05,0.75,0.75,15.0,readout_normal,area_valid,derived_ratio,False
derived_envelope_over_A,True,1.0807189503103756e-16,-1.0807189503103756e-16,-0.8310572908000309,4.002966042486721e-16,7,0.43558849905873914,0.43558849905873953,0.75,0.75,15.0,readout_normal,area_valid,derived_ratio,False
native_max_f_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
native_max_closure_relaxation,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
native_max_envelope_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
native_max_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
native_max_epsilon_c,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,native,False
max_abs_A_chi_tau,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,area,False
inv_A_chi_tau_constructed_control,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,constructed_reciprocal_control,False
derived_f_AB_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,derived_ratio,False
derived_envelope_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_normal,c1_surface_like,derived_ratio,False
native_max_f_AB,True,1.0000000000000002,-1.0000000000000002,-5.453299236399671,6.713997766802521e-16,7,7.473767804861164e-05,0.004484260682916698,0.75,0.75,15.0,readout_strong,area_valid,native,False
native_max_Q_raw,True,2.0000000000000004,-2.0000000000000004,-8.294049640102026,1.644586866285194e-15,7,7.615435494667714e-08,0.00027415567780803766,0.75,0.75,15.0,readout_strong,area_valid,native,False
native_max_closure_relaxation,True,2.0000000000000004,-2.0000000000000004,-8.294049640102026,1.644586866285194e-15,7,7.615435494667714e-08,0.00027415567780803766,0.75,0.75,15.0,readout_strong,area_valid,native,False
native_max_envelope_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,15.0,readout_strong,area_valid,native,False
native_max_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,15.0,readout_strong,area_valid,native,False
native_max_epsilon_c,True,1.190479468701273e-16,-1.190479468701273e-16,0.0057668700854525525,1.1027585620066699e-16,7,1.0057835304914788,1.0057835304914793,0.75,0.75,15.0,readout_strong,area_valid,native,False
max_abs_A_chi_tau,True,1.9999999999999991,-1.9999999999999991,0.7727556587424593,1.7574217797555176e-15,7,0.0006597178783736855,2.374984362145268,0.75,0.75,15.0,readout_strong,area_valid,area,False
inv_A_chi_tau_constructed_control,True,-1.9999999999999991,1.9999999999999991,-0.7727556587424593,1.7546956114400452e-15,7,0.4210554039592595,1515.7994542533343,0.75,0.75,15.0,readout_strong,area_valid,constructed_reciprocal_control,True
derived_f_AB_over_A,True,-0.9999999999999993,0.9999999999999993,-6.22605489514213,1.1749496091904413e-15,7,0.0018881221933041152,0.11328733159824692,0.75,0.75,15.0,readout_strong,area_valid,derived_ratio,False
derived_Q_raw_over_A,True,8.645751602483005e-16,-8.645751602483005e-16,-9.066805298844486,1.3427995533605042e-15,7,0.00011543472966718788,0.00011543472966718791,0.75,0.75,15.0,readout_strong,area_valid,derived_ratio,False
derived_envelope_over_A,True,7.204793002069171e-17,-7.204793002069171e-17,-0.7727556587424593,2.098124302125788e-16,7,0.46173891866875155,0.46173891866875166,0.75,0.75,15.0,readout_strong,area_valid,derived_ratio,False
native_max_f_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
native_max_closure_relaxation,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
native_max_envelope_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
native_max_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
native_max_epsilon_c,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,native,False
max_abs_A_chi_tau,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,area,False
inv_A_chi_tau_constructed_control,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,constructed_reciprocal_control,False
derived_f_AB_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,derived_ratio,False
derived_envelope_over_A,False,0.0,0.0,,,0,,,0.75,0.75,15.0,readout_strong,c1_surface_like,derived_ratio,False
native_max_f_AB,True,1.0000000000000002,-1.0000000000000002,-5.453299236399671,6.713997766802521e-16,7,7.473767804861164e-05,0.004484260682916698,0.75,0.75,30.0,readout_off,area_valid,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,area_valid,native,False
native_max_closure_relaxation,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,area_valid,native,False
native_max_envelope_V_AB,True,1.9999999999999991,-1.9999999999999991,3.3569988834012605e-16,1.7040076400350663e-15,7,0.0003046174197867087,1.0966227112321512,0.75,0.75,30.0,readout_off,area_valid,native,False
native_max_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,30.0,readout_off,area_valid,native,False
native_max_epsilon_c,True,7.444014644715999e-17,-7.444014644715999e-17,0.0027591623512352257,1.9283032141775823e-16,7,1.0027629723429978,1.0027629723429983,0.75,0.75,30.0,readout_off,area_valid,native,False
max_abs_A_chi_tau,True,1.9999999999999991,-1.9999999999999991,0.8505002502459277,1.0255085581189022e-15,7,0.0007130538033802006,2.5669936921687224,0.75,0.75,30.0,readout_off,area_valid,area,False
inv_A_chi_tau_constructed_control,True,-1.9999999999999991,1.9999999999999991,-0.8505002502459277,1.0255085581189022e-15,7,0.38956075468777285,1402.4187168759825,0.75,0.75,30.0,readout_off,area_valid,constructed_reciprocal_control,True
derived_f_AB_over_A,True,-0.999999999999999,0.999999999999999,-6.303799486645598,1.6011864169946884e-15,7,0.0017468919758537368,0.10481351855122421,0.75,0.75,30.0,readout_off,area_valid,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,area_valid,derived_ratio,False
derived_envelope_over_A,True,-7.204793002069171e-17,7.204793002069171e-17,-0.8505002502459279,4.024900267185342e-16,7,0.42720117099534843,0.4272011709953486,0.75,0.75,30.0,readout_off,area_valid,derived_ratio,False
native_max_f_AB,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
native_max_closure_relaxation,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
native_max_envelope_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
native_max_V_AB,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
native_max_epsilon_c,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,native,False
max_abs_A_chi_tau,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,area,False
inv_A_chi_tau_constructed_control,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,constructed_reciprocal_control,False
derived_f_AB_over_A,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,derived_ratio,False
derived_Q_raw_over_A,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,derived_ratio,False
derived_envelope_over_A,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_off,c1_surface_like,derived_ratio,False
native_max_f_AB,True,1.0000000000000002,-1.0000000000000002,-5.453299236399671,6.713997766802521e-16,7,7.473767804861164e-05,0.004484260682916698,0.75,0.75,30.0,readout_normal,area_valid,native,False
native_max_Q_raw,True,2.0000000000000018,-2.0000000000000018,-9.680344001221915,2.5121479338940403e-15,7,1.9038588736669286e-08,6.853891945200942e-05,0.75,0.75,30.0,readout_normal,area_valid,native,False
native_max_closure_relaxation,True,2.0000000000000018,-2.0000000000000018,-9.680344001221915,2.5121479338940403e-15,7,1.9038588736669286e-08,6.853891945200942e-05,0.75,0.75,30.0,readout_normal,area_valid,native,False
native_max_envelope_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,30.0,readout_normal,area_valid,native,False
native_max_V_AB,True,2.0000000000000004,-2.0000000000000004,0.0,1.0780485463549486e-15,7,0.00030461741978670857,1.0966227112321507,0.75,0.75,30.0,readout_normal,area_valid,native,False
native_max_epsilon_c,True,-6.304193876810525e-17,6.304193876810525e-17,0.003234527868637808,1.280040930140418e-16,7,1.003239764598498,1.0032397645984985,0.75,0.75,30.0,readout_normal,area_valid,native,False
max_abs_A_chi_tau,True,1.9999999999999993,-1.9999999999999993,0.8459481204013353,1.6273993997730389e-15,7,0.0007098152665933937,2.5553349597362174,0.75,0.75,30.0,readout_normal,area_valid,area,False
inv_A_chi_tau_constructed_control,True,-1.9999999999999993,1.9999999999999993,-0.8459481204013353,1.6273993997730389e-15,7,0.39133812817370456,1408.8172614253365,0.75,0.75,30.0,readout_normal,area_valid,constructed_reciprocal_control,True
derived_f_AB_over_A,True,-0.999999999999999,0.999999999999999,-6.299247356801005,1.4918829367190876e-15,7,0.0017548621818955588,0.10529173091373355,0.75,0.75,30.0,readout_normal,area_valid,derived_ratio,False
derived_Q_raw_over_A,True,1.4409586004138342e-15,-1.4409586004138342e-15,-10.526292121623252,2.2267811435768035e-15,7,2.6821892445397672e-05,2.68218924453977e-05,0.75,0.75,30.0,readout_normal,area_valid,derived_ratio,False
derived_envelope_over_A,True,3.6023965010345854e-17,-3.6023965010345854e-17,-0.8459481204013353,3.8459253727671276e-16,7,0.4291502791263628,0.42915027912636317,0.75,0.75,30.0,readout_normal,area_valid,derived_ratio,False
native_max_f_AB,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_normal,c1_surface_like,native,False
native_max_Q_raw,False,0.0,0.0,,,0,,,0.75,0.75,30.0,readout_normal,c1_surface_like,native,False
