eigen_index,mu,sigma,sigma_over_sigma1,abs_sigma_over_eps_normK,pair_id,cluster_id,solver_residual
77,-8.45075238311794420e-15,8.45075238311794420e-15,2.17216953750273748e-16,9.78258191968287782e-01,77,-1,1.43426774858679476e-14
707,8.34690863215087031e-15,8.34690863215087031e-15,2.14547768543033356e-16,9.66237250463577224e-01,72,-1,1.32695253745074251e-14
78,-8.33460992797372160e-15,8.33460992797372160e-15,2.14231644376175410e-16,9.64813553783512856e-01,78,-1,1.58973827367776624e-14
79,-8.29377306277667611e-15,8.29377306277667611e-15,2.13181979321909546e-16,9.60086282636257393e-01,79,-1,1.38690798202173487e-14
706,8.29184427686549381e-15,8.29184427686549381e-15,2.13132402079426338e-16,9.59863006585483847e-01,73,-1,1.50034368206861785e-14
705,8.24182160145015037e-15,8.24182160145015037e-15,2.11846626247931604e-16,9.54072387029882174e-01,74,-1,1.48853370307592364e-14
704,8.11678438739617459e-15,8.11678438739617459e-15,2.08632687238609370e-16,9.39598092505107063e-01,75,-1,1.32467321117424977e-14
80,-7.92352388694050781e-15,7.92352388694050781e-15,2.03665146446253926e-16,9.17226277643707344e-01,80,-1,1.29430848556942706e-14
81,-7.90329120473859010e-15,7.90329120473859010e-15,2.03145088421257531e-16,9.14884144516122544e-01,81,-1,1.50259291363359692e-14
703,7.82917040114600121e-15,7.82917040114600121e-15,2.01239897683676806e-16,9.06303928220284272e-01,76,-1,1.40221370780924981e-14
82,-7.82558895281376155e-15,7.82558895281376155e-15,2.01147840638164850e-16,9.05889340144419797e-01,82,-1,1.41189412236390804e-14
702,7.81379911637987889e-15,7.81379911637987889e-15,2.00844796336393803e-16,9.04524549939886957e-01,77,-1,1.32303149218156873e-14
83,-7.73942910843813329e-15,7.73942910843813329e-15,1.98933200085181744e-16,8.95915485775245490e-01,83,-1,1.57414606768184292e-14
84,-7.70510155965250778e-15,7.70510155965250778e-15,1.98050849586802057e-16,8.91941732399532450e-01,84,-1,1.20064837053132396e-14
85,-7.61608848218075445e-15,7.61608848218075445e-15,1.95762869930579107e-16,8.81637588072335610e-01,85,-1,1.49204305890811924e-14
701,7.58210794764359520e-15,7.58210794764359520e-15,1.94889439037761445e-16,8.77704005028908107e-01,78,-1,1.37498153879653383e-14
700,7.57721337066887921e-15,7.57721337066887921e-15,1.94763629517834208e-16,8.77137409321844141e-01,79,-1,1.30790182502849646e-14
86,-7.41494185118851855e-15,7.41494185118851855e-15,1.90592625145209672e-16,8.58352875583531572e-01,86,-1,1.42960775608344877e-14
699,7.30731877819687303e-15,7.30731877819687303e-15,1.87826296774828138e-16,8.45894440165496753e-01,80,-1,1.43522363453225752e-14
698,7.30183412926549222e-15,7.30183412926549222e-15,1.87685320128104432e-16,8.45259537791844040e-01,81,-1,1.46610429407800091e-14
697,7.23858290254521440e-15,7.23858290254521440e-15,1.86059519469621817e-16,8.37937582552123028e-01,82,-1,1.27307779332593399e-14
87,-7.19956638668522957e-15,7.19956638668522957e-15,1.85056644419349890e-16,8.33421034849419096e-01,87,-1,1.31822917068460516e-14
88,-7.15087846634160177e-15,7.15087846634160177e-15,1.83805176944973741e-16,8.27784926398152376e-01,88,-1,1.42647886505109056e-14
89,-7.11918623896316728e-15,7.11918623896316728e-15,1.82990564378351045e-16,8.24116237546659081e-01,89,-1,1.27992748269610673e-14
