phase_model,correction,delta_max,closure_global_abs,closure_pair_rms,closure_pair_max,transmission_leakage,reflection_rate,max_remaining_delta,rms_remaining_delta
alternating_linear,linear,0.08,0.0021996362555865147,0.000933529810124145,0.0016190602161474488,0.0005443229561555989,0.9994556770438444,0.08074131984260839,0.04666908367585023
alternating_linear,affine,0.08,0.0021744432451522087,0.000933388058597529,0.001633808991089865,0.0005441585952294918,0.9994558414047705,0.08147845473089901,0.04666204096449234
alternating_linear,quadratic,0.08,0.0021711119465848217,0.000932680448499798,0.0017006148857478403,0.0005433387944547583,0.9994566612055453,0.08481793484064265,0.046626909818423934
alternating_linear,cubic,0.08,0.002166475965708133,0.0009316855755467652,0.0017764778644145062,0.0005421871742412056,0.9994578128257589,0.08861131083878335,0.04657751827946447
alternating_linear,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
sinusoidal_loop,none,0.08,0.050363676553508825,0.0011245550967125396,0.0015973838232594716,0.0007916103965956415,0.9992083896034044,0.08,0.05628240104524862
sinusoidal_loop,constant,0.08,0.0006154270235759101,0.0005006240818356076,0.001011744545189611,0.00015663291577783657,0.9998433670842222,0.050409463594113385,0.02503187263414305
sinusoidal_loop,linear,0.08,0.013021589834481772,0.0007214590106195056,0.0014848867893168575,0.0003253055245689106,0.9996746944754311,0.07401968796412134,0.03607595662079973
sinusoidal_loop,affine,0.08,0.0006254408782001649,0.0005002458943102412,0.00098676836851182,0.00015641455102892004,0.9998435854489712,0.04945922064580273,0.025014413375645816
sinusoidal_loop,quadratic,0.08,2.047879634395673e-06,2.8629232875823547e-05,7.387104294002347e-05,5.1202784293203e-07,0.9999994879721572,0.003679022698713351,0.001431122701887382
sinusoidal_loop,cubic,0.08,2.035176081879194e-06,2.8536688906654053e-05,6.871453391896714e-05,5.088455862426473e-07,0.9999994911544138,0.0034427416598267883,0.0014266685452849338
sinusoidal_loop,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
mixed_smooth,none,0.08,0.03527886810319726,0.0008042491927347245,0.0016046095907674817,0.000403886435325669,0.9995961135646744,0.08,0.04019920592361657
mixed_smooth,constant,0.08,0.000586204276775064,0.00038448937718784705,0.0008970726844255677,9.232203184087591e-05,0.9999076779681592,0.044691967471843036,0.019217674049685076
mixed_smooth,linear,0.08,0.0007542394872022351,9.975228753668721e-05,0.00023398819713599164,6.21434535770014e-06,0.9999937856546424,0.011653624984801353,0.004985727916179059
mixed_smooth,affine,0.08,2.257582093345941e-05,9.510247805149047e-05,0.0002633761823287139,5.644159261776873e-06,0.9999943558407383,0.01311735311564205,0.004751500921921674
mixed_smooth,quadratic,0.08,1.6008579150046564e-05,8.003218381162134e-05,0.00015982573928928593,4.002791774876867e-06,0.9999959972082252,0.008007673095403818,0.004001400404582997
mixed_smooth,cubic,0.08,3.737914627933188e-07,1.223107118940707e-05,3.074688790810239e-05,9.345638545000749e-08,0.9999999065436146,0.001531294036935374,0.0006114127631651965
mixed_smooth,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
rippled_random_like,none,0.08,0.026073101596286993,0.0007246555630566834,0.0015996882572214864,0.0003282272051749951,0.999671772794825,0.08,0.036240539459977086
rippled_random_like,constant,0.08,0.0008003339709201171,0.0005028176662508993,0.0010784690593651524,0.00015805379607019177,0.9998419462039299,0.05390254864840864,0.025145570848590384
rippled_random_like,linear,0.08,0.0004907753603470123,0.00041194865708157354,0.0008881938720338503,0.00010598496058024257,0.9998940150394198,0.04438555602260533,0.02059074315254322
rippled_random_like,affine,0.08,0.00042356254686689475,0.0004118084175723895,0.0008889218953674184,0.00010591540546189827,0.9998940845945382,0.04442196134416758,0.020583981793648776
rippled_random_like,quadratic,0.08,0.0003958127150772888,0.0003979936398213313,0.0008219802460624177,9.897737668490966e-05,0.9999010226233153,0.04107473689321647,0.019898230772801413
rippled_random_like,cubic,0.08,0.00019758322677491385,0.00028125140510157153,0.0005475368554790772,4.940368468584329e-05,0.9999505963153144,0.027272468760902162,0.014057789300284245
rippled_random_like,full,0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18,0.0,1.0000000000000002,0.0,0.0
linear,none,0.12,0.06056851626751094,0.0014009226132969106,0.002408421114829852,0.0012263279603233208,0.9987736720396766,0.12,0.07006368304246248
linear,constant,0.12,0.0018347283315926694,0.0006998450559272546,0.001192353756699273,0.0003060968972156803,0.9996939031027843,0.05948637429883532,0.034994461335774725
linear,linear,0.12,1.2991838992349007e-17,4.638709610101473e-19,1.7504142781907683e-18,7.029378844574098e-35,1.0,2.7755575615628914e-17,1.676827819971281e-17
