tau,f
184,3.7947540737933637e-25
185,3.935963040180401e-25
186,4.0822714916079975e-25
187,4.233995085438046e-25
188,4.391286410720839e-25
189,4.5543640772892435e-25
190,4.723396891676608e-25
191,4.898622795275231e-25
192,5.080307148159623e-25
193,5.268613199005471e-25
194,5.46386927629471e-25
195,5.666290823337976e-25
196,5.876118849293224e-25
197,6.093637483024127e-25
198,6.319135235998404e-25
199,6.552893688322088e-25
200,6.79520942408855e-25
201,7.04640593696581e-25
202,7.306764702818947e-25
203,7.576704227548954e-25
204,7.856477549702317e-25
205,8.1465296890588395e-25
206,8.44725277064272e-25
207,8.7588707999902e-25
208,9.08197081308193e-25
209,9.416853101900372e-25
210,9.763929502738266e-25
211,1.0123729653940009e-24
212,1.049679017828382e-24
213,1.088337986804322e-24
214,1.1284138079202615e-24
215,1.1699574654193193e-24
216,1.2130086430143367e-24
217,1.2576433303486426e-24
218,1.3039058077445212e-24
219,1.3518573327690523e-24
220,1.4015588279474534e-24
221,1.4530749431127189e-24
222,1.5064782708090197e-24
223,1.561827222651218e-24
224,1.6192015365536012e-24
225,1.6786547058748915e-24
226,1.740281524050375e-24
227,1.8041741035681953e-24
228,1.8703881841187844e-24
229,1.9390148770151624e-24
230,2.010151808244303e-24
231,2.0838878257302453e-24
232,2.160311683739655e-24
233,2.2395189926060537e-24
234,2.3216226297353307e-24
235,2.406706421869287e-24
236,2.4949110903443647e-24
237,2.5863194989373932e-24
238,2.6810649535195718e-24
239,2.7792633921635927e-24
240,2.8810324600240096e-24
241,2.9865120887916887e-24
242,3.0958365700062056e-24
243,3.2091629034784782e-24
244,3.326607669013088e-24
245,3.448335857305913e-24
246,3.574487602695711e-24
247,3.705240122434336e-24
248,3.840764213121746e-24
249,3.9812073886209695e-24
250,4.126785769137893e-24
251,4.277656916546597e-24
252,4.4340242586280375e-24
253,4.596094414497129e-24
254,4.7640490230635225e-24
255,4.9381321108815714e-24
256,5.118567868690845e-24
257,5.3055734314635536e-24
258,5.4993617957893775e-24
259,5.7002294234179115e-24
260,5.9083849298542745e-24
261,6.124146404570014e-24
262,6.347725130912978e-24
263,6.5794728667798374e-24
264,6.819649225811069e-24
265,7.068573450588332e-24
266,7.326562320942737e-24
267,7.59390509661619e-24
268,7.870992691219936e-24
269,8.158157556144859e-24
270,8.45577742230965e-24
271,8.764215933565876e-24
272,9.08388791582885e-24
273,9.415194657950202e-24
274,9.758545793116824e-24
275,1.011436071188756e-23
276,1.0483151919859774e-23
277,1.0865354174438378e-23
278,1.126146849131077e-23
279,1.1671977680669053e-23
280,1.2097427010436633e-23
281,1.2538331173058432e-23
282,1.2995284550154837e-23
283,1.346882845050566e-23
284,1.3959618786401362e-23
285,1.4468255022430432e-23
286,1.4995369099377033e-23
287,1.5541663601767034e-23
288,1.6107818880043343e-23
289,1.6694569710498006e-23
290,1.730266175922663e-23
291,1.7932837131590038e-23
292,1.8585939927251605e-23
293,1.926276529507366e-23
294,1.996421830976014e-23
295,2.0691172084740932e-23
296,2.1444549020279123e-23
297,2.2225305653296143e-23
298,2.3034459367229833e-23
299,2.387300028508179e-23
300,2.4742053410714205e-23
301,2.564264303130982e-23
302,2.657599287482662e-23
303,2.754329409671876e-23
304,2.8545692156757515e-23
305,2.958460045192064e-23
306,3.066121902030022e-23
307,3.1776965607334916e-23
308,3.293326424719648e-23
309,3.4131578629414574e-23
310,3.5373448427281144e-23
311,3.666044421126461e-23
312,3.799415161009136e-23
313,3.9376399338388006e-23
314,4.080890500712364e-23
315,4.2293464989121127e-23
316,4.3831883643978355e-23
317,4.5426278282464385e-23
318,4.707855900204579e-23
319,4.8790929025092275e-23
320,5.056550714077314e-23
321,5.240453998590011e-23
322,5.431039869239674e-23
323,5.628547726709623e-23
324,5.833235249417098e-23
325,6.04535960347112e-23
326,6.265183286709132e-23
327,6.493000625807756e-23
328,6.729085160670465e-23
329,6.973755291506021e-23
330,7.227317845117204e-23
331,7.490083471700514e-23
332,7.762398926967881e-23
333,8.044606625053858e-23
334,8.337064399294646e-23
335,8.640146486136197e-23
336,8.954240540281482e-23
337,9.27974489506368e-23
338,9.617068599745983e-23
339,9.966656316991134e-23
340,1.0328934391977991e-22
341,1.0704375707948855e-22
342,1.1093457288569798e-22
343,1.1496667270957438e-22
344,1.1914516687622804e-22
345,1.234756139167698e-22
346,1.2796320383279894e-22
347,1.3261394851471294e-22
348,1.3743354962209108e-22
349,1.4242815285703853e-22
350,1.4760422286001437e-22
351,1.5296827629249694e-22
352,1.585271632013788e-22
353,1.6428794427612224e-22
354,1.7025802474582073e-22
355,1.7644490276035116e-22
356,1.8285650530128296e-22
357,1.8950091724123208e-22
358,1.9638673790064726e-22
359,2.035225559796001e-22
360,2.109175633720369e-22
361,2.1858114174098214e-22
362,2.2652315147028775e-22
363,2.347535277877252e-22
364,2.432827594738957e-22
365,2.521218482352898e-22
366,2.6128195411238054e-22
367,2.7077471312449196e-22
368,2.806123763668172e-22
369,2.9080712022972604e-22
370,3.01372234395101e-22
371,3.1232111989393297e-22
372,3.2366749813967636e-22
373,3.3542597397047963e-22
374,3.476115983404352e-22
375,3.602395485945585e-22
376,3.733262763946303e-22
377,3.868881601401099e-22
378,4.0094249321825476e-22
379,4.15507372339134e-22
380,4.306011120024282e-22
381,4.462429148950635e-22
382,4.624528849573269e-22
383,4.792516770204104e-22
384,4.966603537423618e-22
385,5.147012052320645e-22
386,5.333973453287567e-22
387,5.527725386051954e-22
388,5.7285109716964175e-22
389,5.936590946707668e-22
390,6.152225127386487e-22
391,6.375690183055142e-22
392,6.607271468340661e-22
393,6.847261044717807e-22
394,7.0959651719170245e-22
395,7.35370269313852e-22
396,7.620800508717909e-22
397,7.897595873654942e-22
398,8.184442698273396e-22
399,8.481707355301463e-22
400,8.789768275724885e-22
401,9.109014497471087e-22
402,9.439853815348744e-22
403,9.782706928325835e-22
404,1.0138011628961436e-21
405,1.0506219570904005e-21
406,1.088779611248282e-21
407,1.128323053197078e-21
408,1.1693023783797348e-21
409,1.2117698670093377e-21
410,1.2557794904609655e-21
411,1.3013875192072431e-21
412,1.3486515311384828e-21
413,1.397632163919969e-21
414,1.448391248030877e-21
415,1.5009937755210235e-21
416,1.5555065069705286e-21
417,1.611998623785528e-21
418,1.6705421180732144e-21
419,1.7312120651244267e-21
420,1.794084791228871e-21
421,1.859240601814598e-21
422,1.9267628906389695e-21
423,1.996736747880864e-21
424,2.0692518281506943e-21
425,2.144399951103348e-21
426,2.2222772351662845e-21
427,2.3029825776528205e-21
428,2.3866187900428666e-21
429,2.473292054147347e-21
430,2.563112575311864e-21
